"","query","pre_id","weight","n","type","xyz"
"1","720575940634330231","720575940620542166",955,1,"ALBN1_L","136187, 57831, 2058"
"2","720575940629805196","720575940612091857",670,1,"ALBN1","(124660.585, 54465.9225, 2094)"
"3","720575940634330231","720575940612091857",415,1,"ALBN1","(124660.585, 54465.9225, 2094)"
"4","720575940629805196","720575940620542166",357,1,"ALBN1_L","136187, 57831, 2058"
"5","720575940629805196","720575940638426064",270,1,"il3LN6","(123456.25, 83791.75, 2704)"
"6","720575940634330231","720575940638426064",162,1,"il3LN6","(123456.25, 83791.75, 2704)"
"7","720575940629805196","720575940614710569",110,1,NA,NA
"8","720575940629805196","720575940623616560",104,1,"HRN_VP5","(118371.915, 68780.415, 1877)"
"9","720575940629805196","720575940617579049",97,1,NA,NA
"10","720575940629805196","720575940626258182",87,1,NA,NA
"11","720575940629805196","720575940614432285",83,1,NA,NA
"12","720575940629805196","720575940610185221",82,1,NA,NA
"13","720575940629805196","720575940610211333",79,1,NA,NA
"14","720575940629805196","720575940617533225",76,1,NA,NA
"15","720575940629805196","720575940610178309",74,1,NA,NA
"16","720575940629805196","720575940630145361",73,1,NA,NA
"17","720575940629805196","720575940610209285",68,1,NA,NA
"18","720575940629805196","720575940612099635",67,1,NA,NA
"19","720575940629805196","720575940607907362",63,1,NA,NA
"20","720575940634330231","720575940642156823",57,1,NA,NA
"21","720575940629805196","720575940607846690",55,1,NA,NA
"22","720575940634330231","720575940614640925",55,1,NA,NA
"23","720575940634330231","720575940626258182",50,1,NA,NA
"24","720575940629805196","720575940617703721",49,1,NA,NA
"25","720575940629805196","720575940622219784",49,1,NA,NA
"26","720575940629805196","720575940610208773",47,1,"ORN_DP1m","(118884.75, 55394.7025, 1809)"
"27","720575940629805196","720575940618392710",46,1,"v2LN3A","(114160.0075, 59999.3, 1765)"
"28","720575940629805196","720575940607851042",44,1,NA,NA
"29","720575940634330231","720575940640412183",44,1,NA,NA
"30","720575940634330231","720575940612539902",43,1,NA,NA
"31","720575940629805196","720575940617709097",41,1,NA,NA
"32","720575940634330231","720575940640018376",39,1,NA,NA
"33","720575940629805196","720575940617419817",36,1,NA,NA
"34","720575940629805196","720575940633422133",36,1,NA,NA
"35","720575940634330231","720575940614882333",36,1,NA,NA
"36","720575940634330231","720575940617163653",36,1,NA,NA
"37","720575940629805196","720575940609321166",35,1,"DM4_adPN","(108520.75, 32098, 4699)"
"38","720575940629805196","720575940621943559",34,1,NA,NA
"39","720575940629805196","720575940630143677",34,1,NA,NA
"40","720575940634330231","720575940621629703",34,1,NA,NA
"41","720575940629805196","720575940617705001",33,1,"ORN_DM1","(135587.25, 54461.75, 1643)"
"42","720575940629805196","720575940624449794",33,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"43","720575940634330231","720575940613590028",33,1,NA,NA
"44","720575940629805196","720575940606438178",32,1,NA,NA
"45","720575940629805196","720575940629237775",32,1,"VA3_adPN","(118122.25, 60278.735, 1334)"
"46","720575940629805196","720575940633422389",32,1,NA,NA
"47","720575940629805196","720575940634747507",32,1,NA,NA
"48","720575940629805196","720575940617389865",31,1,NA,NA
"49","720575940629805196","720575940617704745",30,1,NA,NA
"50","720575940629805196","720575940624531770",30,1,"VA2_adPN","(120472.8125, 62434.29, 971)"
"51","720575940634330231","720575940617282949",30,1,NA,NA
"52","720575940629805196","720575940621013640",29,1,NA,NA
