"","query","post_id","weight","n","type","xyz"
"1","720575940634330231","720575940620542166",955,1,"ALBN1_L","136187, 57831, 2058"
"2","720575940629805196","720575940650774913",686,1,NA,NA
"3","720575940629805196","720575940612091857",669,1,"ALBN1","(124660.585, 54465.9225, 2094)"
"4","720575940634330231","720575940604860802",473,1,NA,NA
"5","720575940629805196","720575940620542166",415,1,"ALBN1_L","136187, 57831, 2058"
"6","720575940634330231","720575940612091857",357,1,"ALBN1","(124660.585, 54465.9225, 2094)"
"7","720575940629805196","720575940624076730",117,1,NA,NA
"8","720575940629805196","720575940647678329",99,1,NA,NA
"9","720575940634330231","720575940626116880",89,1,"M_l2PNl21","(117496.6325, 66331.25, 2228)"
"10","720575940634330231","720575940609315534",79,1,NA,NA
"11","720575940629805196","720575940626913127",77,1,NA,NA
"12","720575940629805196","720575940637426749",76,1,NA,NA
"13","720575940634330231","720575940622357479",62,1,"M_l2PNl22","(115545.18, 67683.82, 2087)"
"14","720575940629805196","720575940624171838",55,1,"M_spPN4t9_L","141877, 66873, 2125"
"15","720575940629805196","720575940631794969",55,1,NA,NA
"16","720575940629805196","720575940650815617",54,1,NA,NA
"17","720575940629805196","720575940630178351",53,1,NA,NA
"18","720575940634330231","720575940624449794",52,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"19","720575940634330231","720575940614383477",51,1,"lLN2F_a","(116730.25, 61743.25, 1593)"
"20","720575940634330231","720575940622143997",50,1,"DP1l_adPN","(117816.53, 63826.1675, 2069)"
"21","720575940629805196","720575940626642192",47,1,"CSD","(124444.2, 33557.07, 3861)"
"22","720575940634330231","720575940609321166",44,1,"DM4_adPN","(108520.75, 32098, 4699)"
"23","720575940629805196","720575940621453094",43,1,"M_lvPNm24_L","142736, 64969, 1549"
"24","720575940634330231","720575940625930728",43,1,"v2LN37","(110621.125, 67560.8825, 1774)"
"25","720575940629805196","720575940631539993",40,1,"M_vPNml50_L","157220, 46897, 2817"
"26","720575940629805196","720575940619775612",39,1,NA,NA
"27","720575940634330231","720575940647678329",38,1,NA,NA
"28","720575940629805196","720575940603948478",37,1,"M_l2PNl20_L","146467, 68204, 1792"
"29","720575940634330231","720575940615096891",37,1,"M_spPN4t9","(120907, 62679.8, 2328)"
"30","720575940634330231","720575940619123888",37,1,NA,NA
"31","720575940634330231","720575940637785507",36,1,"M_l2PNl20","(116346.89, 66924.05, 2106)"
"32","720575940629805196","720575940650346998",35,1,"M_vPNml52_L","157636, 46767, 2817"
"33","720575940629805196","720575940628793285",34,1,NA,NA
"34","720575940629805196","720575940628116188",30,1,NA,NA
"35","720575940629805196","720575940632341399",30,1,NA,NA
"36","720575940634330231","720575940612346885",29,1,NA,NA
"37","720575940634330231","720575940629132562",29,1,NA,NA
"38","720575940629805196","720575940652618145",28,1,NA,NA
"39","720575940634330231","720575940612992479",27,1,"M_vPNml52","(114132.65, 60609.535, 1765)"
