"","query","pre_id","weight","n","type","xyz"
"1","720575940615488916","720575940628112092",39,1,NA,NA
"2","720575940616942494","720575940628112092",37,1,NA,NA
"3","720575940615488916","720575940621590965",28,1,"DA4m_adPN","(114569.525, 63601.9575, 1617)"
"4","720575940616942494","720575940616624182",28,1,NA,NA
"5","720575940616942494","720575940621590965",26,1,"DA4m_adPN","(114569.525, 63601.9575, 1617)"
"6","720575940615488916","720575940633039925",23,1,"V_ilPN","(125090.2, 76280.85, 2928)"
"7","720575940615488916","720575940631652065",22,1,NA,NA
"8","720575940615488916","720575940644958340",21,1,"DL4_adPN","(120864.96, 59917.8625, 1494)"
"9","720575940616942494","720575940630300108",19,1,NA,NA
"10","720575940616942494","720575940626542891",16,1,"DL5_adPN","(97261.28, 33099.53, 4554)"
"11","720575940615488916","720575940616942494",15,1,"M_ilPNm90","(143601.5, 78817.7575, 3235)"
"12","720575940615488916","720575940628000567",15,1,"M_imPNl92","(130887.5, 85562.25, 3377)"
"13","720575940616942494","720575940628000567",15,1,"M_imPNl92","(130887.5, 85562.25, 3377)"
"14","720575940615488916","720575940619923396",14,1,NA,NA
"15","720575940615488916","720575940627272314",14,1,NA,NA
"16","720575940616942494","720575940615488916",14,1,"M_ilPN8t91","(121098.89, 76423.93, 3362)"
"17","720575940615488916","720575940610053605",13,1,NA,NA
"18","720575940615488916","720575940626542891",13,1,"DL5_adPN","(97261.28, 33099.53, 4554)"
"19","720575940615488916","720575940650871937",13,1,NA,NA
"20","720575940616942494","720575940615237849",13,1,"VC2_lPN","(116579.695, 61446.8825, 1488)"
"21","720575940616942494","720575940622981709",13,1,"VM7v_adPN","(120590.575, 59918.4175, 1356)"
"22","720575940616942494","720575940650872961",13,1,"VP3+VP1l_ivPN","(131813.4, 88817.25, 2579)"
"23","720575940615488916","720575940609912282",12,1,NA,NA
"24","720575940615488916","720575940624834441",12,1,NA,NA
"25","720575940615488916","720575940631022803",12,1,NA,NA
"26","720575940616942494","720575940626124362",12,1,"DC2_adPN","(97909.945, 34196.355, 4387)"
"27","720575940615488916","720575940610247338",11,1,NA,NA
"28","720575940615488916","720575940616624182",11,1,NA,NA
"29","720575940615488916","720575940619966612",11,1,"VP3+VP1l_ivPN","(128467.1875, 87575.525, 2563)"
"30","720575940615488916","720575940616131136",10,1,NA,NA
"31","720575940615488916","720575940621739191",10,1,"lLN2S","(118075.93, 58732.93, 1423)"
"32","720575940615488916","720575940622176329",10,1,"CSD","(121294.025, 34779.675, 4022)"
"33","720575940615488916","720575940628793285",10,1,NA,NA
"34","720575940616942494","720575940619966612",10,1,"VP3+VP1l_ivPN","(128467.1875, 87575.525, 2563)"
"35","720575940616942494","720575940621739191",10,1,"lLN2S","(118075.93, 58732.93, 1423)"
"36","720575940616942494","720575940629166904",10,1,NA,NA
"37","720575940616942494","720575940644958340",10,1,"DL4_adPN","(120864.96, 59917.8625, 1494)"
"38","720575940616942494","720575940646904441",10,1,"DA4l_adPN","(95841.79, 34803.655, 4687)"
"39","720575940615488916","720575940613852614",9,1,"V_ilPN","(136550.225, 76397.1875, 2816)"
"40","720575940615488916","720575940617861968",9,1,"lLN2P_c","(112913.375, 58623.5775, 1454)"
"41","720575940615488916","720575940623797566",9,1,NA,NA
"42","720575940615488916","720575940623798846",9,1,NA,NA
"43","720575940615488916","720575940626913127",9,1,NA,NA
"44","720575940615488916","720575940632564671",9,1,NA,NA
