"","query","pre_id","weight","n","type","xyz"
"1","720575940628000567","720575940650343297",123,1,NA,NA
"2","720575940616624182","720575940650343297",104,1,NA,NA
"3","720575940628000567","720575940624948869",68,1,NA,NA
"4","720575940616624182","720575940616143645",66,1,NA,NA
"5","720575940628000567","720575940624449794",65,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"6","720575940616624182","720575940616511808",60,1,NA,NA
"7","720575940616624182","720575940615841826",59,1,NA,NA
"8","720575940628000567","720575940616511808",57,1,NA,NA
"9","720575940628000567","720575940620003866",55,1,"MBON28","89719,35271,5178"
"10","720575940628000567","720575940647678329",54,1,NA,NA
"11","720575940616624182","720575940620003866",53,1,"MBON28","89719,35271,5178"
"12","720575940628000567","720575940621101252",51,1,"mALB3","(122639.5, 63448.75, 2347)"
"13","720575940628000567","720575940629450040",51,1,NA,NA
"14","720575940616624182","720575940624449794",51,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"15","720575940628000567","720575940615841826",49,1,NA,NA
"16","720575940616624182","720575940616651830",46,1,"MBON16","170336,38247,4851"
"17","720575940616624182","720575940624948869",46,1,NA,NA
"18","720575940616624182","720575940631472339",46,1,NA,NA
"19","720575940628000567","720575940616143645",45,1,NA,NA
"20","720575940616624182","720575940623551807",44,1,NA,NA
"21","720575940628000567","720575940606997443",43,1,NA,NA
"22","720575940628000567","720575940631472339",43,1,NA,NA
"23","720575940616624182","720575940647678329",43,1,NA,NA
"24","720575940628000567","720575940616651830",39,1,"MBON16","170336,38247,4851"
"25","720575940616624182","720575940629450040",38,1,NA,NA
"26","720575940628000567","720575940637248829",37,1,NA,NA
"27","720575940628000567","720575940616624182",33,1,NA,NA
"28","720575940628000567","720575940630300108",32,1,NA,NA
"29","720575940628000567","720575940613901362",30,1,"VC5_adPN","(100376.11, 32539.92, 4572)"
"30","720575940628000567","720575940622835132",30,1,NA,NA
"31","720575940628000567","720575940610053605",29,1,NA,NA
"32","720575940628000567","720575940623551807",29,1,NA,NA
"33","720575940616624182","720575940613901362",27,1,"VC5_adPN","(100376.11, 32539.92, 4572)"
"34","720575940616624182","720575940621101252",27,1,"mALB3","(122639.5, 63448.75, 2347)"
"35","720575940628000567","720575940626542891",26,1,"DL5_adPN","(97261.28, 33099.53, 4554)"
"36","720575940616624182","720575940617439537",26,1,"WEDPN2B","(102148.5075, 61254.0575, 4313)"
"37","720575940616624182","720575940637248829",26,1,NA,NA
"38","720575940628000567","720575940608677934",23,1,"lLN2T_d","(110260.6175, 61472.005, 1541)"
"39","720575940616624182","720575940610053605",23,1,NA,NA
"40","720575940616624182","720575940606997443",22,1,NA,NA
"41","720575940628000567","720575940614424837",21,1,NA,NA
"42","720575940628000567","720575940617439537",21,1,"WEDPN2B","(102148.5075, 61254.0575, 4313)"
"43","720575940628000567","720575940620306957",21,1,"VA7l_adPN","(118705.72, 61498.2425, 964)"
"44","720575940616624182","720575940606494044",21,1,NA,NA
"45","720575940628000567","720575940645321348",20,1,"DC1_adPN","(117804.305, 58463.505, 1457)"
"46","720575940616624182","720575940624834441",20,1,NA,NA
"47","720575940628000567","720575940606494044",19,1,NA,NA
"48","720575940628000567","720575940615115835",19,1,"LHAV6g1","(100508.5, 33604, 3727)"
"49","720575940628000567","720575940615237849",19,1,"VC2_lPN","(116579.695, 61446.8825, 1488)"
"50","720575940628000567","720575940634087387",19,1,NA,NA
"51","720575940616624182","720575940637683288",19,1,NA,NA
"52","720575940616624182","720575940645321348",19,1,"DC1_adPN","(117804.305, 58463.505, 1457)"
"53","720575940628000567","720575940608771960",18,1,"M_l2PNm16","(118630.43, 62616.3275, 1945)"
"54","720575940628000567","720575940609218258",18,1,"M_vPNml66","(117579.075, 61117.6125, 2118)"
"55","720575940628000567","720575940621503485",18,1,NA,NA
"56","720575940628000567","720575940633934191",18,1,NA,NA
"57","720575940628000567","720575940646602105",18,1,"VM1_lPN","(115146.3825, 59691.4, 1434)"
"58","720575940616624182","720575940633934191",18,1,NA,NA
"59","720575940616624182","720575940609321166",17,1,"DM4_adPN","(108520.75, 32098, 4699)"
"60","720575940616624182","720575940615120509",17,1,NA,NA
"61","720575940628000567","720575940619966612",16,1,"VP3+VP1l_ivPN","(128467.1875, 87575.525, 2563)"
"62","720575940628000567","720575940624834441",16,1,NA,NA
"63","720575940616624182","720575940619775612",16,1,NA,NA
"64","720575940628000567","720575940611493329",15,1,NA,NA
"65","720575940628000567","720575940613406786",15,1,"mALB1","(163131.725, 40543.255, 3267)"
"66","720575940628000567","720575940626980704",15,1,NA,NA
"67","720575940628000567","720575940629826152",15,1,NA,NA
"68","720575940616624182","720575940628000567",15,1,"M_imPNl92","(130887.5, 85562.25, 3377)"
"69","720575940628000567","720575940603455846",14,1,NA,NA
"70","720575940628000567","720575940615120509",14,1,NA,NA
"71","720575940628000567","720575940622107209",14,1,"D_adPN","(117219.47, 56824.2975, 1363)"
"72","720575940628000567","720575940626023921",14,1,"DL2v_adPN","(113233.5, 55564.525, 1462)"
"73","720575940628000567","720575940628793285",14,1,NA,NA
"74","720575940628000567","720575940629237775",14,1,"VA3_adPN","(118122.25, 60278.735, 1334)"
"75","720575940616624182","720575940614424837",14,1,NA,NA
"76","720575940616624182","720575940625507496",14,1,NA,NA
"77","720575940628000567","720575940617276797",13,1,NA,NA
"78","720575940628000567","720575940623039672",13,1,"M_vPNml66","(117131.36, 61372.725, 2004)"
"79","720575940616624182","720575940603455846",13,1,NA,NA
"80","720575940616624182","720575940608677934",13,1,"lLN2T_d","(110260.6175, 61472.005, 1541)"
"81","720575940616624182","720575940611493329",13,1,NA,NA
"82","720575940616624182","720575940618048645",13,1,"VC3l_adPN","(121262.11, 58791.6375, 1488)"
"83","720575940616624182","720575940619966612",13,1,"VP3+VP1l_ivPN","(128467.1875, 87575.525, 2563)"
"84","720575940616624182","720575940629237775",13,1,"VA3_adPN","(118122.25, 60278.735, 1334)"
"85","720575940616624182","720575940633109752",13,1,NA,NA
"86","720575940628000567","720575940618117467",12,1,NA,NA
"87","720575940628000567","720575940618687726",12,1,"D_adPN","(118003.7425, 56802.805, 1251)"
"88","720575940628000567","720575940625706383",12,1,"VA5_lPN","(115045.875, 61460.3275, 1454)"
"89","720575940628000567","720575940626078736",12,1,NA,NA
"90","720575940628000567","720575940626743339",12,1,NA,NA
"91","720575940616624182","720575940608106542",12,1,NA,NA
"92","720575940616624182","720575940608130606",12,1,NA,NA
"93","720575940616624182","720575940618835366",12,1,"DC2_adPN","(89841.04, 37668.2, 4328)"
"94","720575940616624182","720575940627301242",12,1,"VA3_adPN","(118457.175, 60349.825, 1324)"
"95","720575940616624182","720575940630300108",12,1,NA,NA
"96","720575940616624182","720575940632388270",12,1,"VP1m_l2PN","(116893, 65962.235, 2392)"
"97","720575940616624182","720575940642914071",12,1,NA,NA
"98","720575940628000567","720575940611702737",11,1,NA,NA
"99","720575940628000567","720575940624724101",11,1,NA,NA
"100","720575940628000567","720575940629843304",11,1,NA,NA
"101","720575940628000567","720575940653365121",11,1,NA,NA
"102","720575940628000567","720575940656814209",11,1,NA,NA
"103","720575940616624182","720575940614035829",11,1,"D_adPN","(117923.11, 55977.6525, 1324)"
"104","720575940616624182","720575940618461168",11,1,NA,NA
"105","720575940616624182","720575940618687726",11,1,"D_adPN","(118003.7425, 56802.805, 1251)"
"106","720575940616624182","720575940629151051",11,1,NA,NA
"107","720575940616624182","720575940629726521",11,1,"LHCENT3#1","84200, 44289, 4037"
"108","720575940616624182","720575940646904441",11,1,"DA4l_adPN","(95841.79, 34803.655, 4687)"
"109","720575940628000567","720575940607681734",10,1,NA,NA
"110","720575940628000567","720575940609321166",10,1,"DM4_adPN","(108520.75, 32098, 4699)"
"111","720575940628000567","720575940611978547",10,1,NA,NA
