"","query","post_id","weight","n","type","xyz"
"1","720575940628000567","720575940620003866",99,1,"MBON28","89719,35271,5178"
"2","720575940628000567","720575940616651830",95,1,"MBON16","170336,38247,4851"
"3","720575940628000567","720575940615873826",90,1,NA,NA
"4","720575940628000567","720575940623000909",89,1,"LHAD2b1","(99451.905, 37349.6825, 3860)"
"5","720575940616624182","720575940616651830",84,1,"MBON16","170336,38247,4851"
"6","720575940616624182","720575940620003866",76,1,"MBON28","89719,35271,5178"
"7","720575940616624182","720575940615873826",75,1,NA,NA
"8","720575940616624182","720575940606494044",64,1,NA,NA
"9","720575940628000567","720575940606494044",63,1,NA,NA
"10","720575940616624182","720575940627971799",62,1,NA,NA
"11","720575940616624182","720575940620633224",61,1,"LHAV1a3","(87156.57, 63990.025, 3158)"
"12","720575940628000567","720575940628393559",60,1,NA,NA
"13","720575940628000567","720575940620633224",53,1,"LHAV1a3","(87156.57, 63990.025, 3158)"
"14","720575940616624182","720575940611648209",51,1,"LHAV1a3","(92769.555, 45457.95, 3635)"
"15","720575940616624182","720575940611933905",50,1,"M_vPNml50_L","156437, 46637, 2817"
"16","720575940616624182","720575940627610624",49,1,NA,NA
"17","720575940616624182","720575940630652755",49,1,NA,NA
"18","720575940628000567","720575940606330716",48,1,"LHPV1c2","(142535, 37321.785, 3806)"
"19","720575940628000567","720575940624587928",48,1,NA,NA
"20","720575940616624182","720575940623000909",48,1,"LHAD2b1","(99451.905, 37349.6825, 3860)"
"21","720575940616624182","720575940639392200",48,1,NA,NA
"22","720575940628000567","720575940627610624",46,1,NA,NA
"23","720575940628000567","720575940627971799",46,1,NA,NA
"24","720575940616624182","720575940626218601",46,1,"LHPV2a1_c","(95366.2575, 48905.0125, 4566)"
"25","720575940628000567","720575940637281725",45,1,"OA-VUMa2","(131824.4375, 71616.805, 3521)"
"26","720575940616624182","720575940624587928",45,1,NA,NA
"27","720575940616624182","720575940628392279",44,1,NA,NA
"28","720575940628000567","720575940623039672",43,1,"M_vPNml66","(117131.36, 61372.725, 2004)"
