"","query","post_id","weight","n","type","xyz"
"1","720575940637785507","720575940615096891",534,1,"M_spPN4t9","(120907, 62679.8, 2328)"
"2","720575940603948478","720575940624171838",443,1,"M_spPN4t9_L","141877, 66873, 2125"
"3","720575940637785507","720575940613410496",161,1,NA,NA
"4","720575940603948478","720575940624711513",139,1,NA,NA
"5","720575940637785507","720575940624171838",127,1,"M_spPN4t9_L","141877, 66873, 2125"
"6","720575940637785507","720575940622206707",123,1,"WEDPN4","(101778.14, 62440.335, 4163)"
"7","720575940603948478","720575940615096891",92,1,"M_spPN4t9","(120907, 62679.8, 2328)"
"8","720575940637785507","720575940616744059",87,1,NA,NA
"9","720575940637785507","720575940618305556",87,1,"lLN2T_e","(115933.625, 61489.2225, 1544)"
"10","720575940637785507","720575940616227894",84,1,NA,NA
"11","720575940603948478","720575940610247594",83,1,NA,NA
"12","720575940603948478","720575940627701370",82,1,NA,NA
"13","720575940637785507","720575940622204936",73,1,NA,NA
"14","720575940637785507","720575940626535939",65,1,NA,NA
"15","720575940637785507","720575940628735183",65,1,NA,NA
"16","720575940637785507","720575940636172265",63,1,NA,NA
"17","720575940637785507","720575940614863446",62,1,"CRE055","(114213, 40207.125, 2094)"
"18","720575940637785507","720575940635104309",58,1,"WEDPN9","(111003.75, 65031.515, 2663)"
"19","720575940637785507","720575940625726229",48,1,"ALIN1","(127931.6325, 42743.025, 3764)"
"20","720575940637785507","720575940622357479",43,1,"M_l2PNl22","(115545.18, 67683.82, 2087)"
"21","720575940603948478","720575940613860402",42,1,NA,NA
"22","720575940637785507","720575940613415872",42,1,NA,NA
"23","720575940637785507","720575940618834352",42,1,NA,NA
"24","720575940637785507","720575940613412288",41,1,NA,NA
"25","720575940603948478","720575940630033256",40,1,NA,NA
"26","720575940637785507","720575940639730395",40,1,"LHPV2d1","(95389.9, 49879.87, 4638)"
"27","720575940603948478","720575940606937045",39,1,NA,NA
"28","720575940637785507","720575940621392678",39,1,NA,NA
"29","720575940603948478","720575940624076730",38,1,NA,NA
"30","720575940637785507","720575940613406144",38,1,NA,NA
"31","720575940603948478","720575940603937470",36,1,NA,NA
"32","720575940637785507","720575940615874082",36,1,"CRE051","(115652.25, 42642.035, 2033)"
"33","720575940637785507","720575940626218601",35,1,"LHPV2a1_c","(95366.2575, 48905.0125, 4566)"
"34","720575940603948478","720575940621248652",34,1,NA,NA
"35","720575940637785507","720575940613410752",33,1,NA,NA
"36","720575940637785507","720575940638196688",33,1,"WEDPN6A","(96310.75, 50027.0425, 4671)"
"37","720575940637785507","720575940613405888",32,1,NA,NA
"38","720575940637785507","720575940622510094",32,1,NA,NA
"39","720575940637785507","720575940642714916",32,1,"ALIN1","(129337.525, 40264.87, 3862)"
"40","720575940637785507","720575940604181038",31,1,NA,NA
"41","720575940637785507","720575940628707279",31,1,"DN","(126786, 80638, 5798)"
"42","720575940637785507","720575940644743809",31,1,NA,NA
"43","720575940603948478","720575940625197322",30,1,NA,NA
"44","720575940603948478","720575940603833702",28,1,NA,NA
"45","720575940603948478","720575940618974317",27,1,NA,NA
"46","720575940637785507","720575940619287813",27,1,NA,NA
"47","720575940637785507","720575940629451818",27,1,NA,NA
"48","720575940637785507","720575940641571272",26,1,"LHPV2a1_a","(98191, 40280.25, 4778)"
"49","720575940603948478","720575940602747308",25,1,NA,NA
"50","720575940603948478","720575940615317341",25,1,NA,NA
"51","720575940603948478","720575940621392678",25,1,NA,NA
"52","720575940603948478","720575940629843304",25,1,NA,NA
"53","720575940603948478","720575940630845869",25,1,NA,NA
"54","720575940637785507","720575940628250940",25,1,NA,NA
"55","720575940603948478","720575940621344767",24,1,NA,NA
"56","720575940603948478","720575940627705600",24,1,NA,NA
"57","720575940603948478","720575940624428377",23,1,NA,NA
"58","720575940637785507","720575940606477525",23,1,NA,NA
"59","720575940603948478","720575940625726229",22,1,"ALIN1","(127931.6325, 42743.025, 3764)"
"60","720575940637785507","720575940627751168",22,1,NA,NA
"61","720575940637785507","720575940639676545",22,1,NA,NA
"62","720575940603948478","720575940619919365",21,1,NA,NA
"63","720575940603948478","720575940637785507",21,1,"M_l2PNl20","(116346.89, 66924.05, 2106)"
"64","720575940637785507","720575940603436576",21,1,NA,NA
"65","720575940637785507","720575940605054898",21,1,"LHCENT8#2","95257, 67544, 3885"
"66","720575940637785507","720575940628914117",21,1,NA,NA
"67","720575940637785507","720575940607023217",20,1,NA,NA
"68","720575940637785507","720575940609706419",20,1,"CRE078","(114447.55, 34898.345, 2864)"
"69","720575940603948478","720575940610290841",19,1,NA,NA
"70","720575940603948478","720575940623064078",19,1,NA,NA
"71","720575940603948478","720575940627692172",19,1,NA,NA
"72","720575940603948478","720575940632341399",19,1,NA,NA
"73","720575940637785507","720575940613924027",19,1,NA,NA
"74","720575940637785507","720575940620003866",19,1,"MBON28","89719,35271,5178"
"75","720575940637785507","720575940629475385",19,1,"M_lv2PN9t49","(106564, 64723.5, 3681)"
"76","720575940637785507","720575940630228527",19,1,"LHPV2a1_a","(93660.725, 42244.5075, 4455)"
"77","720575940637785507","720575940633522100",19,1,NA,NA
"78","720575940603948478","720575940604710601",18,1,NA,NA
"79","720575940603948478","720575940647678329",18,1,NA,NA
"80","720575940637785507","720575940606937045",18,1,NA,NA
"81","720575940637785507","720575940609767173",18,1,NA,NA
"82","720575940637785507","720575940620071804",18,1,NA,NA
"83","720575940637785507","720575940628928453",18,1,NA,NA
"84","720575940637785507","720575940614023360",17,1,NA,NA
"85","720575940637785507","720575940626116880",17,1,"M_l2PNl21","(117496.6325, 66331.25, 2228)"
"86","720575940603948478","720575940615875485",16,1,"DN","(137512, 82467, 5798)"
"87","720575940603948478","720575940621015309",16,1,"SMP151","(149574.7, 32805.4175, 2671)"
"88","720575940637785507","720575940613544498",16,1,"SMP110","(107957.6875, 35568.1525, 1980)"
"89","720575940637785507","720575940614359440",16,1,NA,NA
