"","query","pre_id","weight","n","type","xyz"
"1","720575940621453094","720575940612091857",43,1,"ALBN1","(124660.585, 54465.9225, 2094)"
"2","720575940634787246","720575940626248522",23,1,NA,NA
"3","720575940619141814","720575940612091857",22,1,"ALBN1","(124660.585, 54465.9225, 2094)"
"4","720575940617683505","720575940624449794",22,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"5","720575940634787246","720575940621392678",19,1,NA,NA
"6","720575940617683505","720575940620542166",19,1,"ALBN1_L","136187, 57831, 2058"
"7","720575940634787246","720575940625726229",18,1,"ALIN1","(127931.6325, 42743.025, 3764)"
"8","720575940619141814","720575940625726229",17,1,"ALIN1","(127931.6325, 42743.025, 3764)"
"9","720575940621453094","720575940621392678",17,1,NA,NA
"10","720575940634787246","720575940624449794",16,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"11","720575940634787246","720575940617683505",15,1,"M_lvPNm24","(120232.475, 62621.7425, 2106)"
"12","720575940619141814","720575940621453094",15,1,"M_lvPNm24_L","142736, 64969, 1549"
"13","720575940634787246","720575940642714916",13,1,"ALIN1","(129337.525, 40264.87, 3862)"
"14","720575940619141814","720575940619775612",13,1,NA,NA
"15","720575940619141814","720575940623897802",13,1,NA,NA
"16","720575940617683505","720575940632553879",13,1,"M_adPNm3","(119742.36, 65038.035, 1924)"
"17","720575940634787246","720575940620071804",12,1,NA,NA
"18","720575940621453094","720575940625726229",12,1,"ALIN1","(127931.6325, 42743.025, 3764)"
"19","720575940621453094","720575940647678329",12,1,NA,NA
"20","720575940634787246","720575940614710569",11,1,NA,NA
"21","720575940634787246","720575940618461168",11,1,NA,NA
"22","720575940619141814","720575940620071804",11,1,NA,NA
"23","720575940619141814","720575940647678329",11,1,NA,NA
"24","720575940621453094","720575940619141814",11,1,"M_lvPNm24_L","143438, 64279, 1549"
"25","720575940621453094","720575940623897802",11,1,NA,NA
"26","720575940621453094","720575940626961767",11,1,NA,NA
"27","720575940634787246","720575940608075037",10,1,NA,NA
"28","720575940634787246","720575940637214286",10,1,"VL2p_adPN","(116191.9, 65848.64, 1687)"
"29","720575940619141814","720575940625257810",10,1,NA,NA
"30","720575940617683505","720575940626248522",10,1,NA,NA
"31","720575940617683505","720575940634787246",10,1,"M_lvPNm24","(120004.1325, 62719.735, 2080)"
"32","720575940634787246","720575940615559408",9,1,"lLN1_b","(114982.75, 60562.5, 1557)"
"33","720575940634787246","720575940627841491",9,1,"DM6_adPN","(95666.4, 34648.7425, 4387)"
"34","720575940634787246","720575940644439331",9,1,"mALB1_L","101141, 38759, 3833"
"35","720575940619141814","720575940611072995",9,1,NA,NA
"36","720575940619141814","720575940614436155",9,1,NA,NA
"37","720575940617683505","720575940610209285",9,1,NA,NA
"38","720575940621453094","720575940613406786",9,1,"mALB1","(163131.725, 40543.255, 3267)"
"39","720575940634787246","720575940614640925",8,1,NA,NA
"40","720575940634787246","720575940620542166",8,1,"ALBN1_L","136187, 57831, 2058"
"41","720575940634787246","720575940634666355",8,1,"DM3_adPN","(123061.86, 59640.07, 1522)"
"42","720575940619141814","720575940609903077",8,1,NA,NA
"43","720575940619141814","720575940624948869",8,1,NA,NA
"44","720575940619141814","720575940632341399",8,1,NA,NA
"45","720575940619141814","720575940637281725",8,1,"OA-VUMa2","(131824.4375, 71616.805, 3521)"
"46","720575940617683505","720575940621392678",8,1,NA,NA
"47","720575940617683505","720575940629237775",8,1,"VA3_adPN","(118122.25, 60278.735, 1334)"
"48","720575940617683505","720575940637785507",8,1,"M_l2PNl20","(116346.89, 66924.05, 2106)"
"49","720575940621453094","720575940604568521",8,1,NA,NA
"50","720575940621453094","720575940626913127",8,1,NA,NA
"51","720575940634787246","720575940607851042",7,1,NA,NA
"52","720575940634787246","720575940617533225",7,1,NA,NA
"53","720575940634787246","720575940635829823",7,1,"LHCENT8#1","86932, 52380, 4225"
"54","720575940634787246","720575940637785507",7,1,"M_l2PNl20","(116346.89, 66924.05, 2106)"
"55","720575940619141814","720575940609325085",7,1,NA,NA
"56","720575940619141814","720575940617999809",7,1,NA,NA
"57","720575940619141814","720575940621597365",7,1,NA,NA
"58","720575940619141814","720575940625856497",7,1,NA,NA
"59","720575940619141814","720575940632920474",7,1,NA,NA
"60","720575940619141814","720575940650774913",7,1,NA,NA
"61","720575940617683505","720575940620071804",7,1,NA,NA
"62","720575940617683505","720575940626570768",7,1,"VA6_adPN","(115491.2575, 59892.3875, 1175)"
"63","720575940617683505","720575940644439331",7,1,"mALB1_L","101141, 38759, 3833"
"64","720575940621453094","720575940611072995",7,1,NA,NA
"65","720575940621453094","720575940624814080",7,1,NA,NA
"66","720575940621453094","720575940626078736",7,1,NA,NA
"67","720575940621453094","720575940629918953",7,1,NA,NA
"68","720575940634787246","720575940604860802",6,1,NA,NA
"69","720575940634787246","720575940609321166",6,1,"DM4_adPN","(108520.75, 32098, 4699)"
"70","720575940634787246","720575940610185221",6,1,NA,NA
"71","720575940634787246","720575940612097711",6,1,NA,NA
"72","720575940634787246","720575940615096891",6,1,"M_spPN4t9","(120907, 62679.8, 2328)"
"73","720575940634787246","720575940618003335",6,1,"M_lvPNm43","(118815.575, 62555.65, 1756)"
"74","720575940634787246","720575940618834086",6,1,"VM3_adPN","(122684.6175, 61482.325, 1441)"
"75","720575940634787246","720575940621311270",6,1,NA,NA
"76","720575940634787246","720575940626542891",6,1,"DL5_adPN","(97261.28, 33099.53, 4554)"
"77","720575940634787246","720575940629630264",6,1,"lLN16B","(113738.64, 56953.695, 1370)"
"78","720575940634787246","720575940631630525",6,1,NA,NA
"79","720575940634787246","720575940641817288",6,1,"M_l2PNm16","(117096.085, 63379.325, 1820)"
"80","720575940619141814","720575940614432029",6,1,NA,NA
"81","720575940619141814","720575940616606341",6,1,NA,NA
"82","720575940619141814","720575940617781383",6,1,NA,NA
"83","720575940619141814","720575940618703981",6,1,NA,NA
"84","720575940619141814","720575940623975294",6,1,NA,NA
"85","720575940619141814","720575940630300108",6,1,NA,NA
"86","720575940619141814","720575940642714916",6,1,"ALIN1","(129337.525, 40264.87, 3862)"
"87","720575940617683505","720575940618003335",6,1,"M_lvPNm43","(118815.575, 62555.65, 1756)"
"88","720575940617683505","720575940642714916",6,1,"ALIN1","(129337.525, 40264.87, 3862)"
"89","720575940621453094","720575940593343115",6,1,NA,NA
"90","720575940621453094","720575940603948478",6,1,"M_l2PNl20_L","146467, 68204, 1792"
"91","720575940621453094","720575940611703080",6,1,NA,NA
"92","720575940621453094","720575940617163653",6,1,NA,NA
"93","720575940621453094","720575940620747213",6,1,NA,NA
"94","720575940621453094","720575940621629703",6,1,NA,NA
"95","720575940621453094","720575940626745935",6,1,NA,NA
