"","query","post_id","weight","n","type","xyz"
"1","720575940619141814","720575940621015309",112,1,"SMP151","(149574.7, 32805.4175, 2671)"
"2","720575940634787246","720575940630507940",102,1,NA,NA
"3","720575940619141814","720575940644713268",98,1,NA,NA
"4","720575940621453094","720575940626407153",96,1,NA,NA
"5","720575940619141814","720575940640483784",95,1,NA,NA
"6","720575940621453094","720575940621015309",94,1,"SMP151","(149574.7, 32805.4175, 2671)"
"7","720575940634787246","720575940613563039",88,1,NA,NA
"8","720575940621453094","720575940644713268",86,1,NA,NA
"9","720575940619141814","720575940622302728",79,1,"LHCENT4#1","169739, 31288, 3630"
"10","720575940617683505","720575940630507940",75,1,NA,NA
"11","720575940621453094","720575940640483784",74,1,NA,NA
"12","720575940619141814","720575940626407153",64,1,NA,NA
"13","720575940617683505","720575940606943957",64,1,"LHCENT4#1","86840, 42870, 3206"
"14","720575940619141814","720575940606494044",62,1,NA,NA
"15","720575940617683505","720575940636504134",62,1,NA,NA
"16","720575940634787246","720575940635714788",57,1,NA,NA
"17","720575940634787246","720575940658111361",55,1,"SIP013","(99587.96, 34203.7775, 3900)"
"18","720575940634787246","720575940606943957",53,1,"LHCENT4#1","86840, 42870, 3206"
"19","720575940621453094","720575940629556010",52,1,NA,NA
"20","720575940617683505","720575940628665431",51,1,"SMP012","(110224.5, 30973, 3024)"
"21","720575940621453094","720575940630188591",51,1,NA,NA
"22","720575940619141814","720575940634249079",50,1,NA,NA
"23","720575940617683505","720575940613563039",50,1,NA,NA
"24","720575940617683505","720575940658111361",50,1,"SIP013","(99587.96, 34203.7775, 3900)"
"25","720575940621453094","720575940622302728",50,1,"LHCENT4#1","169739, 31288, 3630"
"26","720575940621453094","720575940618868976",49,1,"LHCENT10#2","180764, 49077, 2280"
"27","720575940621453094","720575940606494044",48,1,NA,NA
"28","720575940621453094","720575940629543722",47,1,NA,NA
"29","720575940634787246","720575940615115835",46,1,"LHAV6g1","(100508.5, 33604, 3727)"
"30","720575940621453094","720575940629793863",46,1,NA,NA
"31","720575940634787246","720575940627165543",43,1,"SLP131","(93149.9375, 41142.6925, 3570)"
"32","720575940621453094","720575940621942507",42,1,NA,NA
"33","720575940619141814","720575940617001339",41,1,NA,NA
"34","720575940619141814","720575940629543722",41,1,NA,NA
"35","720575940619141814","720575940630188591",41,1,NA,NA
"36","720575940634787246","720575940628665431",38,1,"SMP012","(110224.5, 30973, 3024)"
"37","720575940634787246","720575940636504134",38,1,NA,NA
"38","720575940619141814","720575940607390147",37,1,"CRE011","(147381, 43370, 654)"
"39","720575940619141814","720575940621942507",37,1,NA,NA
"40","720575940617683505","720575940613406400",37,1,NA,NA
"41","720575940634787246","720575940622474926",36,1,NA,NA
"42","720575940634787246","720575940621151662",35,1,NA,NA
"43","720575940619141814","720575940614972189",35,1,NA,NA
"44","720575940619141814","720575940629793863",35,1,NA,NA
"45","720575940617683505","720575940627165543",34,1,"SLP131","(93149.9375, 41142.6925, 3570)"
"46","720575940617683505","720575940632257632",33,1,"LHAD1b2_a","(91304.8675, 36628.2025, 3625)"
"47","720575940617683505","720575940635714788",33,1,NA,NA
"48","720575940619141814","720575940615768198",32,1,NA,NA
"49","720575940617683505","720575940618890224",32,1,NA,NA
"50","720575940619141814","720575940637252174",31,1,NA,NA
"51","720575940621453094","720575940637348643",31,1,NA,NA
"52","720575940634787246","720575940618890224",30,1,NA,NA
"53","720575940634787246","720575940619965466",30,1,"CRE011","(113856.25, 57428, 2917)"
"54","720575940634787246","720575940622993336",30,1,"LHPV4m1","(106320, 32443.0625, 3456)"
"55","720575940621453094","720575940645421188",30,1,NA,NA
"56","720575940634787246","720575940620572109",29,1,NA,NA
"57","720575940619141814","720575940612421031",29,1,NA,NA
"58","720575940617683505","720575940622474926",29,1,NA,NA
"59","720575940617683505","720575940622595220",29,1,NA,NA
"60","720575940617683505","720575940615115835",28,1,"LHAV6g1","(100508.5, 33604, 3727)"
"61","720575940621453094","720575940625804968",28,1,NA,NA
"62","720575940634787246","720575940618025863",27,1,NA,NA
"63","720575940619141814","720575940632826303",27,1,NA,NA
"64","720575940634787246","720575940612883648",26,1,"SMP012","(111659.72, 31380.54875, 2708)"
"65","720575940634787246","720575940619901189",26,1,NA,NA
"66","720575940619141814","720575940618868976",26,1,"LHCENT10#2","180764, 49077, 2280"
"67","720575940619141814","720575940629556010",26,1,NA,NA
"68","720575940617683505","720575940612883648",26,1,"SMP012","(111659.72, 31380.54875, 2708)"
"69","720575940617683505","720575940622993336",26,1,"LHPV4m1","(106320, 32443.0625, 3456)"
"70","720575940617683505","720575940630670637",26,1,NA,NA
"71","720575940619141814","720575940637348643",25,1,NA,NA
"72","720575940621453094","720575940612421031",25,1,NA,NA
"73","720575940621453094","720575940619955294",25,1,NA,NA
"74","720575940621453094","720575940634249079",25,1,NA,NA
"75","720575940617683505","720575940621151662",24,1,NA,NA
"76","720575940621453094","720575940630210863",24,1,NA,NA
"77","720575940619141814","720575940615566225",23,1,NA,NA
"78","720575940619141814","720575940616979102",23,1,NA,NA
"79","720575940619141814","720575940638082805",23,1,NA,NA
"80","720575940617683505","720575940619965466",23,1,"CRE011","(113856.25, 57428, 2917)"
"81","720575940617683505","720575940620572109",23,1,NA,NA
"82","720575940621453094","720575940623064078",23,1,NA,NA
"83","720575940619141814","720575940645421188",22,1,NA,NA
"84","720575940617683505","720575940619901189",22,1,NA,NA
"85","720575940634787246","720575940613406400",21,1,NA,NA
"86","720575940619141814","720575940623162189",21,1,NA,NA
"87","720575940619141814","720575940628920416",21,1,NA,NA
"88","720575940617683505","720575940618025863",21,1,NA,NA
"89","720575940617683505","720575940620257081",21,1,NA,NA
"90","720575940619141814","720575940618117467",20,1,NA,NA
"91","720575940617683505","720575940615519680",20,1,NA,NA
"92","720575940617683505","720575940635086704",20,1,NA,NA
"93","720575940621453094","720575940623154620",20,1,NA,NA
"94","720575940634787246","720575940615519680",19,1,NA,NA
"95","720575940634787246","720575940616289605",19,1,"LHPV10d1","(119883.5075, 30134.4825, 2924)"
"96","720575940634787246","720575940641311361",19,1,"LHPV5e3","(116451.75, 30350.75, 3039)"
"97","720575940619141814","720575940613934022",19,1,NA,NA
"98","720575940619141814","720575940614492021",19,1,NA,NA
"99","720575940619141814","720575940623154620",19,1,NA,NA
"100","720575940619141814","720575940624880509",19,1,NA,NA
"101","720575940619141814","720575940648875905",19,1,NA,NA
"102","720575940617683505","720575940628056380",19,1,NA,NA
"103","720575940617683505","720575940630609747",19,1,NA,NA
"104","720575940621453094","720575940625825284",19,1,NA,NA
"105","720575940621453094","720575940632826303",19,1,NA,NA
"106","720575940634787246","720575940630670637",18,1,NA,NA
"107","720575940619141814","720575940614933533",18,1,NA,NA
"108","720575940619141814","720575940630079047",18,1,NA,NA
"109","720575940621453094","720575940614972189",18,1,NA,NA
"110","720575940634787246","720575940610091738",17,1,"LHAV6b4","(95281.1175, 33196.835, 3920)"
"111","720575940634787246","720575940612749202",17,1,"LHAD1f3_b","(96279.375, 38126.93, 3556)"
"112","720575940634787246","720575940615415513",17,1,"DN","(130994, 82698, 5798)"
"113","720575940634787246","720575940632690330",17,1,"WEDPN3","(100889.5, 59186.25, 4448)"
"114","720575940634787246","720575940633286324",17,1,"LHCENT11#1","115803, 46069, 658"
"115","720575940619141814","720575940608077809",17,1,NA,NA
"116","720575940619141814","720575940623529008",17,1,NA,NA
"117","720575940619141814","720575940630473056",17,1,NA,NA
"118","720575940619141814","720575940630845869",17,1,NA,NA
"119","720575940619141814","720575940631693664",17,1,NA,NA
"120","720575940617683505","720575940612884416",17,1,NA,NA
"121","720575940617683505","720575940619127280",17,1,NA,NA
"122","720575940617683505","720575940641927041",17,1,NA,NA
"123","720575940621453094","720575940615566225",17,1,NA,NA
"124","720575940634787246","720575940609178062",16,1,NA,NA
"125","720575940634787246","720575940612884672",16,1,NA,NA
"126","720575940634787246","720575940621158076",16,1,NA,NA
"127","720575940634787246","720575940628519887",16,1,NA,NA
"128","720575940634787246","720575940635086704",16,1,NA,NA
"129","720575940619141814","720575940625804968",16,1,NA,NA
"130","720575940619141814","720575940625825284",16,1,NA,NA
"131","720575940619141814","720575940640187336",16,1,NA,NA
"132","720575940617683505","720575940606477525",16,1,NA,NA
"133","720575940617683505","720575940635939903",16,1,NA,NA
"134","720575940621453094","720575940617001339",16,1,NA,NA
"135","720575940621453094","720575940623162189",16,1,NA,NA
"136","720575940621453094","720575940630473056",16,1,NA,NA
"137","720575940634787246","720575940612350718",15,1,NA,NA
"138","720575940634787246","720575940628056380",15,1,NA,NA
"139","720575940619141814","720575940617210516",15,1,NA,NA
"140","720575940619141814","720575940619955294",15,1,NA,NA
"141","720575940619141814","720575940623384909",15,1,NA,NA
"142","720575940617683505","720575940609979610",15,1,NA,NA
"143","720575940617683505","720575940634787246",15,1,"M_lvPNm24","(120004.1325, 62719.735, 2080)"
"144","720575940621453094","720575940619141814",15,1,"M_lvPNm24_L","143438, 64279, 1549"
"145","720575940621453094","720575940630284319",15,1,NA,NA
"146","720575940621453094","720575940630845869",15,1,NA,NA
"147","720575940634787246","720575940622473196",14,1,"LHAD1f3_b","(96121.8825, 38842.715, 3648)"
"148","720575940634787246","720575940622595220",14,1,NA,NA
"149","720575940634787246","720575940627389822",14,1,NA,NA
"150","720575940619141814","720575940615285021",14,1,NA,NA
"151","720575940619141814","720575940623064078",14,1,NA,NA
"152","720575940619141814","720575940630509152",14,1,NA,NA
"153","720575940617683505","720575940609154914",14,1,NA,NA
"154","720575940617683505","720575940609178062",14,1,NA,NA
"155","720575940617683505","720575940616289605",14,1,"LHPV10d1","(119883.5075, 30134.4825, 2924)"
"156","720575940617683505","720575940627547586",14,1,NA,NA
"157","720575940617683505","720575940629150327",14,1,NA,NA
"158","720575940617683505","720575940634678500",14,1,"SLP216","(106952.9, 33840.3675, 2867)"
"159","720575940617683505","720575940641311361",14,1,"LHPV5e3","(116451.75, 30350.75, 3039)"
"160","720575940621453094","720575940614933533",14,1,NA,NA
"161","720575940621453094","720575940627692482",14,1,NA,NA
"162","720575940621453094","720575940633948661",14,1,NA,NA
"163","720575940634787246","720575940625454418",13,1,"LHMB1","94167, 44072, 4476"
"164","720575940634787246","720575940639148673",13,1,NA,NA
"165","720575940619141814","720575940611776721",13,1,NA,NA
"166","720575940619141814","720575940612935784",13,1,NA,NA
"167","720575940619141814","720575940630100832",13,1,NA,NA
"168","720575940619141814","720575940630210863",13,1,NA,NA
"169","720575940617683505","720575940612992479",13,1,"M_vPNml52","(114132.65, 60609.535, 1765)"
"170","720575940617683505","720575940621101252",13,1,"mALB3","(122639.5, 63448.75, 2347)"
"171","720575940617683505","720575940622473196",13,1,"LHAD1f3_b","(96121.8825, 38842.715, 3648)"
"172","720575940617683505","720575940628552911",13,1,NA,NA
"173","720575940621453094","720575940628920416",13,1,NA,NA
"174","720575940621453094","720575940637252174",13,1,NA,NA
"175","720575940621453094","720575940638812439",13,1,NA,NA
"176","720575940621453094","720575940640187336",13,1,NA,NA
"177","720575940634787246","720575940607177923",12,1,"SMP127","(125941.64, 25536.2675, 1740)"
"178","720575940634787246","720575940620927079",12,1,NA,NA
"179","720575940634787246","720575940627723008",12,1,NA,NA
"180","720575940634787246","720575940630553316",12,1,NA,NA
"181","720575940619141814","720575940626775746",12,1,NA,NA
"182","720575940619141814","720575940628188985",12,1,NA,NA
"183","720575940617683505","720575940612884672",12,1,NA,NA
"184","720575940617683505","720575940620927079",12,1,NA,NA
"185","720575940617683505","720575940621368979",12,1,NA,NA
"186","720575940617683505","720575940621447868",12,1,NA,NA
"187","720575940621453094","720575940611460589",12,1,NA,NA
"188","720575940621453094","720575940614411805",12,1,NA,NA
"189","720575940621453094","720575940625806279",12,1,NA,NA
