"","query","pre_id","weight","n","type","xyz"
"1","720575940643267950","720575940625961546",178,1,"DM1_lPN","(124092.405, 58908.875, 1673)"
"2","720575940643267950","720575940624449794",171,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"3","720575940643268206","720575940643267950",163,1,"M_vPNml50","(118190.445, 60474.0475, 1683)"
"4","720575940643268206","720575940625961546",150,1,"DM1_lPN","(124092.405, 58908.875, 1673)"
"5","720575940643267950","720575940643268206",141,1,"M_vPNml50","(119828.6, 60110.2925, 1919)"
"6","720575940631539993","720575940611933905",134,1,"M_vPNml50_L","156437, 46637, 2817"
"7","720575940611933905","720575940631539993",132,1,"M_vPNml50_L","157220, 46897, 2817"
"8","720575940643267950","720575940625307155",116,1,"lLN2P_b","(114559.8125, 56940.89, 1331)"
"9","720575940611933905","720575940628793285",116,1,NA,NA
"10","720575940643268206","720575940625307155",113,1,"lLN2P_b","(114559.8125, 56940.89, 1331)"
"11","720575940611933905","720575940647678329",112,1,NA,NA
"12","720575940643268206","720575940624449794",111,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"13","720575940643268206","720575940609321166",94,1,"DM4_adPN","(108520.75, 32098, 4699)"
"14","720575940631539993","720575940619775612",93,1,NA,NA
"15","720575940631539993","720575940626961767",85,1,NA,NA
"16","720575940643267950","720575940609321166",84,1,"DM4_adPN","(108520.75, 32098, 4699)"
"17","720575940631539993","720575940630300108",83,1,NA,NA
"18","720575940611933905","720575940619775612",73,1,NA,NA
"19","720575940643268206","720575940619177398",72,1,"lLN2P_a","(112861, 57440.75, 1405)"
"20","720575940643267950","720575940618619814",70,1,"DM2_lPN","(123018.6175, 58774.78, 1654)"
"21","720575940643267950","720575940626542891",70,1,"DL5_adPN","(97261.28, 33099.53, 4554)"
"22","720575940631539993","720575940647678329",70,1,NA,NA
"23","720575940611933905","720575940626961767",68,1,NA,NA
"24","720575940643268206","720575940618619814",65,1,"DM2_lPN","(123018.6175, 58774.78, 1654)"
"25","720575940611933905","720575940625257810",62,1,NA,NA
"26","720575940611933905","720575940630300108",61,1,NA,NA
"27","720575940643267950","720575940619177398",58,1,"lLN2P_a","(112861, 57440.75, 1405)"
"28","720575940643268206","720575940645321348",58,1,"DC1_adPN","(117804.305, 58463.505, 1457)"
"29","720575940643268206","720575940626542891",57,1,"DL5_adPN","(97261.28, 33099.53, 4554)"
"30","720575940631539993","720575940628793285",57,1,NA,NA
"31","720575940611933905","720575940631833500",56,1,NA,NA
"32","720575940643267950","720575940613392140",55,1,"DM2_lPN","(121947.765, 60104.13, 1618)"
"33","720575940643268206","720575940626656155",53,1,NA,NA
"34","720575940643267950","720575940615558557",52,1,"DL1_adPN","(115394.445, 54068.9425, 1309)"
"35","720575940643268206","720575940624531770",52,1,"VA2_adPN","(120472.8125, 62434.29, 971)"
"36","720575940631539993","720575940631833500",51,1,NA,NA
"37","720575940611933905","720575940616624182",50,1,NA,NA
"38","720575940643268206","720575940613392140",50,1,"DM2_lPN","(121947.765, 60104.13, 1618)"
"39","720575940631539993","720575940616417403",50,1,NA,NA
"40","720575940643267950","720575940626656155",48,1,NA,NA
"41","720575940643267950","720575940622115080",45,1,"MBON13","127756,73639,1529"
"42","720575940643267950","720575940645321348",44,1,"DC1_adPN","(117804.305, 58463.505, 1457)"
"43","720575940643268206","720575940613901362",44,1,"VC5_adPN","(100376.11, 32539.92, 4572)"
"44","720575940643268206","720575940611235053",43,1,"VC1_lPN","(95635.78, 33065.5425, 4570)"
"45","720575940643268206","720575940634666355",43,1,"DM3_adPN","(123061.86, 59640.07, 1522)"
"46","720575940643268206","720575940613520287",42,1,"lLN2P_c","(112816.8825, 57078.0625, 1421)"
"47","720575940643268206","720575940616624182",42,1,NA,NA
"48","720575940631539993","720575940624834441",42,1,NA,NA
"49","720575940611933905","720575940609893555",41,1,NA,NA
"50","720575940631539993","720575940612091857",40,1,"ALBN1","(124660.585, 54465.9225, 2094)"
"51","720575940611933905","720575940601663174",39,1,NA,NA
"52","720575940631539993","720575940608106542",39,1,NA,NA
"53","720575940643268206","720575940609911409",38,1,"VM3_adPN","(107448.445, 32614.2775, 4685)"
"54","720575940611933905","720575940608106542",37,1,NA,NA
"55","720575940611933905","720575940626078736",37,1,NA,NA
"56","720575940643268206","720575940615237849",37,1,"VC2_lPN","(116579.695, 61446.8825, 1488)"
"57","720575940643268206","720575940622115080",37,1,"MBON13","127756,73639,1529"
"58","720575940643268206","720575940628549750",37,1,"VA4_lPN","(115986.1325, 61937.495, 1457)"
"59","720575940643267950","720575940624531770",36,1,"VA2_adPN","(120472.8125, 62434.29, 971)"
"60","720575940611933905","720575940623683877",36,1,NA,NA
"61","720575940631539993","720575940625257810",36,1,NA,NA
"62","720575940631539993","720575940626078736",36,1,NA,NA
"63","720575940611933905","720575940616651830",35,1,"MBON16","170336,38247,4851"
"64","720575940643268206","720575940613486642",35,1,"DM6_adPN","(96171.32, 34234.7225, 4382)"
"65","720575940631539993","720575940610053605",35,1,NA,NA
"66","720575940631539993","720575940616624182",35,1,NA,NA
"67","720575940643267950","720575940625930728",34,1,"v2LN37","(110621.125, 67560.8825, 1774)"
"68","720575940643267950","720575940628000567",34,1,"M_imPNl92","(130887.5, 85562.25, 3377)"
"69","720575940611933905","720575940628000567",34,1,"M_imPNl92","(130887.5, 85562.25, 3377)"
"70","720575940643268206","720575940622143997",34,1,"DP1l_adPN","(117816.53, 63826.1675, 2069)"
"71","720575940643267950","720575940609911409",33,1,"VM3_adPN","(107448.445, 32614.2775, 4685)"
"72","720575940611933905","720575940617615665",33,1,NA,NA
"73","720575940631539993","720575940624724101",33,1,NA,NA
"74","720575940643267950","720575940616624182",32,1,NA,NA
"75","720575940643268206","720575940628745465",32,1,"lLN1_a","(111525.89, 58348.5775, 1411)"
"76","720575940643268206","720575940637214286",32,1,"VL2p_adPN","(116191.9, 65848.64, 1687)"
"77","720575940631539993","720575940617615665",32,1,NA,NA
"78","720575940643267950","720575940613167007",31,1,"VM7d_adPN","(100535.53, 33373.23, 4558)"
"79","720575940643267950","720575940613520287",31,1,"lLN2P_c","(112816.8825, 57078.0625, 1421)"
"80","720575940643267950","720575940620003866",31,1,"MBON28","89719,35271,5178"
"81","720575940643267950","720575940628745465",31,1,"lLN1_a","(111525.89, 58348.5775, 1411)"
"82","720575940611933905","720575940624834441",31,1,NA,NA
"83","720575940631539993","720575940628000567",31,1,"M_imPNl92","(130887.5, 85562.25, 3377)"
"84","720575940643267950","720575940618834086",30,1,"VM3_adPN","(122684.6175, 61482.325, 1441)"
"85","720575940643267950","720575940627830839",30,1,"DL2d_adPN","(112698.29, 55197.63, 1428)"
"86","720575940643267950","720575940646517625",30,1,"DL2v_adPN","(114450.1875, 56692.505, 1551)"
"87","720575940643268206","720575940628000567",30,1,"M_imPNl92","(130887.5, 85562.25, 3377)"
"88","720575940643267950","720575940621578544",29,1,NA,NA
"89","720575940611933905","720575940618425310",29,1,NA,NA
"90","720575940611933905","720575940620137693",29,1,NA,NA
"91","720575940611933905","720575940624724101",29,1,NA,NA
"92","720575940643268206","720575940620447870",29,1,NA,NA
"93","720575940643268206","720575940635558889",29,1,"DL1_adPN","(97612.85, 33646.9225, 4430)"
"94","720575940631539993","720575940621123113",29,1,NA,NA
"95","720575940643268206","720575940618836245",28,1,NA,NA
"96","720575940631539993","720575940603890694",28,1,NA,NA
