"","query","post_id","weight","n","type","xyz"
"1","720575940611933905","720575940645421188",413,1,NA,NA
"2","720575940643267950","720575940616289605",372,1,"LHPV10d1","(119883.5075, 30134.4825, 2924)"
"3","720575940631539993","720575940645421188",372,1,NA,NA
"4","720575940611933905","720575940606494044",270,1,NA,NA
"5","720575940643268206","720575940616289605",259,1,"LHPV10d1","(119883.5075, 30134.4825, 2924)"
"6","720575940631539993","720575940606494044",200,1,NA,NA
"7","720575940643267950","720575940643268206",163,1,"M_vPNml50","(119828.6, 60110.2925, 1919)"
"8","720575940643268206","720575940643267950",141,1,"M_vPNml50","(118190.445, 60474.0475, 1683)"
"9","720575940611933905","720575940614164411",134,1,"LHCENT8#2","159669, 35349, 2892"
"10","720575940611933905","720575940631539993",134,1,"M_vPNml50_L","157220, 46897, 2817"
"11","720575940631539993","720575940611933905",132,1,"M_vPNml50_L","156437, 46637, 2817"
"12","720575940611933905","720575940609120354",128,1,"LHCENT8#1","172642, 50123, 3477"
"13","720575940631539993","720575940616651830",114,1,"MBON16","170336,38247,4851"
"14","720575940643267950","720575940645421188",105,1,NA,NA
"15","720575940631539993","720575940609120354",103,1,"LHCENT8#1","172642, 50123, 3477"
"16","720575940631539993","720575940614164411",102,1,"LHCENT8#2","159669, 35349, 2892"
"17","720575940643268206","720575940605054898",99,1,"LHCENT8#2","95257, 67544, 3885"
"18","720575940643267950","720575940605054898",96,1,"LHCENT8#2","95257, 67544, 3885"
"19","720575940643268206","720575940635829823",94,1,"LHCENT8#1","86932, 52380, 4225"
"20","720575940631539993","720575940616289605",81,1,"LHPV10d1","(119883.5075, 30134.4825, 2924)"
"21","720575940631539993","720575940628392279",77,1,NA,NA
"22","720575940611933905","720575940631472339",74,1,NA,NA
"23","720575940643267950","720575940635829823",73,1,"LHCENT8#1","86932, 52380, 4225"
"24","720575940643267950","720575940630939053",72,1,"LHCENT2#1","79778, 35766, 4114"
"25","720575940643268206","720575940645421188",72,1,NA,NA
"26","720575940643268206","720575940620003866",71,1,"MBON28","89719,35271,5178"
"27","720575940611933905","720575940616289605",70,1,"LHPV10d1","(119883.5075, 30134.4825, 2924)"
"28","720575940611933905","720575940628392279",70,1,NA,NA
"29","720575940611933905","720575940616651830",69,1,"MBON16","170336,38247,4851"
"30","720575940643268206","720575940642916631",65,1,"LHCENT1#1","102301, 33119, 3458"
"31","720575940643267950","720575940642916631",63,1,"LHCENT1#1","102301, 33119, 3458"
"32","720575940631539993","720575940612074803",62,1,NA,NA
"33","720575940611933905","720575940606997443",60,1,NA,NA
"34","720575940643267950","720575940615096891",59,1,"M_spPN4t9","(120907, 62679.8, 2328)"
"35","720575940611933905","720575940629975327",59,1,NA,NA
"36","720575940643268206","720575940630939053",57,1,"LHCENT2#1","79778, 35766, 4114"
"37","720575940643267950","720575940615115835",56,1,"LHAV6g1","(100508.5, 33604, 3727)"
"38","720575940631539993","720575940611764520",56,1,"LHCENT1#1","178843, 46992, 3248"
"39","720575940643267950","720575940616587328",52,1,NA,NA
"40","720575940611933905","720575940624587928",51,1,NA,NA
"41","720575940643268206","720575940615115835",50,1,"LHAV6g1","(100508.5, 33604, 3727)"
"42","720575940643268206","720575940621203690",50,1,"LHAV1b4","(93549.07, 46519.9, 3620)"
"43","720575940643267950","720575940613340096",49,1,NA,NA
"44","720575940643267950","720575940615841826",47,1,NA,NA
"45","720575940643267950","720575940620003866",46,1,"MBON28","89719,35271,5178"
"46","720575940631539993","720575940606997443",45,1,NA,NA
"47","720575940643268206","720575940615096891",43,1,"M_spPN4t9","(120907, 62679.8, 2328)"
"48","720575940643267950","720575940621203690",42,1,"LHAV1b4","(93549.07, 46519.9, 3620)"
"49","720575940611933905","720575940620881421",42,1,"LHCENT2#1","177025, 48094, 2746"
"50","720575940643268206","720575940602424032",41,1,NA,NA
"51","720575940611933905","720575940612074803",40,1,NA,NA
"52","720575940611933905","720575940628393559",40,1,NA,NA
"53","720575940611933905","720575940630718381",40,1,NA,NA
"54","720575940643267950","720575940602424032",39,1,NA,NA
"55","720575940643268206","720575940620029102",39,1,NA,NA
"56","720575940631539993","720575940629975327",38,1,NA,NA
"57","720575940643268206","720575940615841826",38,1,NA,NA
"58","720575940643268206","720575940631427554",38,1,"MBON15","93419,32039,5172"
"59","720575940631539993","720575940653674369",36,1,NA,NA
"60","720575940643268206","720575940611648209",36,1,"LHAV1a3","(92769.555, 45457.95, 3635)"
"61","720575940643268206","720575940620633224",36,1,"LHAV1a3","(87156.57, 63990.025, 3158)"
"62","720575940611933905","720575940604985474",36,1,NA,NA
"63","720575940611933905","720575940630448736",35,1,NA,NA
"64","720575940643267950","720575940621101252",34,1,"mALB3","(122639.5, 63448.75, 2347)"
"65","720575940643267950","720575940630869293",33,1,NA,NA
"66","720575940631539993","720575940628393559",33,1,NA,NA
"67","720575940643268206","720575940622463719",33,1,"LHAV1a2_a","(93607.095, 48860.9425, 3498)"
"68","720575940643268206","720575940630933421",33,1,NA,NA
