"","query","pre_id","weight","n","type","xyz"
"1","720575940613406786","720575940630210863",200,1,NA,NA
"2","720575940644439331","720575940633286324",169,1,"LHCENT11#1","115803, 46069, 658"
"3","720575940613406786","720575940632262295",157,1,NA,NA
"4","720575940613406786","720575940615828993",146,1,"MBON17","166028,35788,4694"
"5","720575940644439331","720575940639730395",140,1,"LHPV2d1","(95389.9, 49879.87, 4638)"
"6","720575940613406786","720575940627971799",138,1,NA,NA
"7","720575940644439331","720575940630210863",133,1,NA,NA
"8","720575940613406786","720575940633286324",132,1,"LHCENT11#1","115803, 46069, 658"
"9","720575940644439331","720575940634406030",118,1,"M_l2PNm15","(110724.985, 63822.395, 1842)"
"10","720575940644439331","720575940626218601",115,1,"LHPV2a1_c","(95366.2575, 48905.0125, 4566)"
"11","720575940613406786","720575940617801351",110,1,NA,NA
"12","720575940644439331","720575940633220344",108,1,"MBON16","97251,38304,5274"
"13","720575940644439331","720575940632262295",104,1,NA,NA
"14","720575940644439331","720575940639730651",93,1,NA,NA
"15","720575940644439331","720575940633891191",91,1,"MBON17","100390,32551,5036"
"16","720575940613406786","720575940622149611",89,1,NA,NA
"17","720575940644439331","720575940615438553",87,1,"WEDPN11","(94534.5, 49216.75, 4704)"
"18","720575940613406786","720575940639730651",86,1,NA,NA
"19","720575940644439331","720575940622966204",83,1,NA,NA
"20","720575940613406786","720575940625492562",81,1,NA,NA
"21","720575940613406786","720575940630563020",74,1,"MBON17","165298,31773,4278"
"22","720575940613406786","720575940604895362",72,1,NA,NA
"23","720575940613406786","720575940622966204",64,1,NA,NA
"24","720575940613406786","720575940650774913",61,1,NA,NA
"25","720575940613406786","720575940616976488",58,1,NA,NA
"26","720575940613406786","720575940637651584",51,1,NA,NA
"27","720575940613406786","720575940621128426",49,1,NA,NA
"28","720575940613406786","720575940633220344",47,1,"MBON16","97251,38304,5274"
"29","720575940644439331","720575940630563020",46,1,"MBON17","165298,31773,4278"
"30","720575940644439331","720575940617506776",45,1,NA,NA
"31","720575940644439331","720575940622149611",44,1,NA,NA
"32","720575940613406786","720575940621696747",43,1,NA,NA
"33","720575940644439331","720575940624441177",43,1,"M_l2PNm14","(117043.1325, 33405.14, 4180)"
"34","720575940613406786","720575940630482636",42,1,NA,NA
"35","720575940613406786","720575940639392200",40,1,NA,NA
"36","720575940644439331","720575940615828993",40,1,"MBON17","166028,35788,4694"
"37","720575940613406786","720575940631901536",39,1,NA,NA
"38","720575940613406786","720575940628000567",37,1,"M_imPNl92","(130887.5, 85562.25, 3377)"
"39","720575940644439331","720575940650774913",37,1,NA,NA
"40","720575940613406786","720575940633891191",36,1,"MBON17","100390,32551,5036"
"41","720575940644439331","720575940628000567",36,1,"M_imPNl92","(130887.5, 85562.25, 3377)"
"42","720575940613406786","720575940615820884",35,1,NA,NA
"43","720575940644439331","720575940604895362",35,1,NA,NA
"44","720575940644439331","720575940604860802",31,1,NA,NA
"45","720575940644439331","720575940615837993",31,1,NA,NA
"46","720575940644439331","720575940619933278",31,1,"ALIN3","(96820.75, 46862.25, 4395)"
"47","720575940613406786","720575940604860802",30,1,NA,NA
"48","720575940644439331","720575940619233140",30,1,NA,NA
"49","720575940644439331","720575940625530133",30,1,"SIP090","(100466.93, 35257.34, 3891)"
"50","720575940613406786","720575940650320886",29,1,NA,NA
"51","720575940644439331","720575940618729767",28,1,NA,NA
"52","720575940644439331","720575940619965466",28,1,"CRE011","(113856.25, 57428, 2917)"
"53","720575940644439331","720575940627920896",28,1,"LHPD2c3","(103639.8825, 34752.425, 3770)"
"54","720575940613406786","720575940625225042",27,1,NA,NA
"55","720575940644439331","720575940619104496",27,1,"VA1v_adPN","(120238.2, 59802.12, 1008)"
"56","720575940644439331","720575940628046647",26,1,"VA1v_adPN","(118192.72, 60171.8125, 905)"
"57","720575940613406786","720575940616730526",23,1,NA,NA
"58","720575940644439331","720575940614604091",23,1,"VP4+VL1_l2PN","(120946.18, 60940.45, 2194)"
"59","720575940644439331","720575940616624182",23,1,NA,NA
"60","720575940644439331","720575940632713279",23,1,"LHAV4a3_b","(91216.75, 42880.5, 3699)"
"61","720575940613406786","720575940610784995",22,1,NA,NA
"62","720575940613406786","720575940618754881",21,1,"VL1_ilPN","(126336.735, 75500.375, 2869)"
"63","720575940644439331","720575940622065481",21,1,NA,NA
"64","720575940644439331","720575940636786229",20,1,NA,NA
"65","720575940613406786","720575940610435481",19,1,NA,NA
"66","720575940613406786","720575940616624182",19,1,NA,NA
"67","720575940613406786","720575940621591989",19,1,NA,NA
"68","720575940613406786","720575940639140341",19,1,"AN","(127302, 82284, 5798)"
"69","720575940644439331","720575940613259999",19,1,"LHCENT14#1","112619, 41461, 2465"
"70","720575940644439331","720575940647783801",19,1,"DN","(130136, 83205, 5798)"
"71","720575940613406786","720575940609635697",18,1,"DN","(134083, 83936, 5798)"
"72","720575940613406786","720575940623336080",18,1,NA,NA
"73","720575940613406786","720575940627822636",18,1,"AN","(126785, 72990, 5780)"
"74","720575940613406786","720575940647783801",18,1,"DN","(130136, 83205, 5798)"
"75","720575940644439331","720575940633300984",18,1,NA,NA
"76","720575940613406786","720575940619233140",17,1,NA,NA
"77","720575940613406786","720575940621078506",17,1,NA,NA
"78","720575940613406786","720575940627467514",17,1,NA,NA
"79","720575940644439331","720575940613976262",17,1,"MBON17","94415,35432,5299"
"80","720575940644439331","720575940624655134",17,1,NA,NA
"81","720575940613406786","720575940616289605",16,1,"LHPV10d1","(119883.5075, 30134.4825, 2924)"
"82","720575940644439331","720575940616813409",16,1,NA,NA
"83","720575940644439331","720575940637112509",16,1,NA,NA
"84","720575940644439331","720575940648283521",16,1,NA,NA
"85","720575940613406786","720575940615837993",15,1,NA,NA
"86","720575940613406786","720575940619933278",15,1,"ALIN3","(96820.75, 46862.25, 4395)"
"87","720575940613406786","720575940621431946",15,1,NA,NA
"88","720575940613406786","720575940624171838",15,1,"M_spPN4t9_L","141877, 66873, 2125"
"89","720575940613406786","720575940629450051",15,1,NA,NA
"90","720575940613406786","720575940636071770",15,1,NA,NA
"91","720575940644439331","720575940609954776",15,1,NA,NA
"92","720575940644439331","720575940613126111",15,1,"M_lvPNm44","(119230.805, 62187.91, 1865)"
"93","720575940644439331","720575940626116880",15,1,"M_l2PNl21","(117496.6325, 66331.25, 2228)"
"94","720575940613406786","720575940610070937",14,1,NA,NA
"95","720575940644439331","720575940613811229",14,1,NA,NA
"96","720575940644439331","720575940636071770",14,1,NA,NA
"97","720575940613406786","720575940608137501",13,1,"SLP215","(108409.25, 34898.25, 2854)"
"98","720575940613406786","720575940626120188",13,1,NA,NA
"99","720575940613406786","720575940647157625",13,1,NA,NA
"100","720575940644439331","720575940618048532",13,1,"M_lPNm11C","(118144.905, 58580.2225, 1620)"
