"","query","post_id","weight","n","type","xyz"
"1","720575940613406786","720575940617001339",193,1,NA,NA
"2","720575940644439331","720575940641311361",172,1,"LHPV5e3","(116451.75, 30350.75, 3039)"
"3","720575940644439331","720575940616289605",167,1,"LHPV10d1","(119883.5075, 30134.4825, 2924)"
"4","720575940644439331","720575940613259999",160,1,"LHCENT14#1","112619, 41461, 2465"
"5","720575940613406786","720575940622149611",150,1,NA,NA
"6","720575940613406786","720575940645421188",148,1,NA,NA
"7","720575940644439331","720575940629478954",145,1,"MBON04","126251,24103,1617"
"8","720575940613406786","720575940624622425",133,1,"MBON04","134012,26863,1541"
"9","720575940613406786","720575940623951152",128,1,"LHCENT14#1","159197, 31430, 3155"
"10","720575940644439331","720575940645421188",128,1,NA,NA
"11","720575940613406786","720575940616289605",127,1,"LHPV10d1","(119883.5075, 30134.4825, 2924)"
"12","720575940644439331","720575940612350718",108,1,NA,NA
"13","720575940613406786","720575940608763256",99,1,NA,NA
"14","720575940644439331","720575940627673594",88,1,NA,NA
"15","720575940613406786","720575940610070937",87,1,NA,NA
"16","720575940644439331","720575940615590484",78,1,NA,NA
"17","720575940644439331","720575940634406030",75,1,"M_l2PNm15","(110724.985, 63822.395, 1842)"
"18","720575940613406786","720575940617801351",70,1,NA,NA
"19","720575940613406786","720575940624171838",68,1,"M_spPN4t9_L","141877, 66873, 2125"
"20","720575940644439331","720575940615096891",68,1,"M_spPN4t9","(120907, 62679.8, 2328)"
"21","720575940644439331","720575940628550006",68,1,"V_l2PN","(92221.8825, 34854.5825, 3722)"
"22","720575940644439331","720575940614294389",67,1,NA,NA
"23","720575940644439331","720575940625530133",67,1,"SIP090","(100466.93, 35257.34, 3891)"
"24","720575940644439331","720575940618089349",65,1,NA,NA
"25","720575940644439331","720575940627871223",65,1,NA,NA
"26","720575940644439331","720575940641403009",65,1,NA,NA
"27","720575940644439331","720575940603338016",64,1,"MB-C1","(94695.86, 40673.48, 4462)"
"28","720575940644439331","720575940620003866",63,1,"MBON28","89719,35271,5178"
"29","720575940613406786","720575940612421031",62,1,NA,NA
"30","720575940644439331","720575940608771960",59,1,"M_l2PNm16","(118630.43, 62616.3275, 1945)"
"31","720575940644439331","720575940614130973",59,1,NA,NA
"32","720575940613406786","720575940616651830",58,1,"MBON16","170336,38247,4851"
"33","720575940613406786","720575940622835132",58,1,NA,NA
"34","720575940613406786","720575940625475727",58,1,NA,NA
"35","720575940613406786","720575940637682083",58,1,NA,NA
"36","720575940644439331","720575940616651830",58,1,"MBON16","170336,38247,4851"
"37","720575940613406786","720575940606494044",57,1,NA,NA
"38","720575940613406786","720575940609402318",57,1,NA,NA
"39","720575940613406786","720575940617275339",57,1,NA,NA
"40","720575940613406786","720575940621781175",57,1,NA,NA
"41","720575940613406786","720575940630652755",57,1,NA,NA
"42","720575940644439331","720575940640217485",57,1,"LHAD2e3","(96846.055, 33137.61, 4082)"
"43","720575940613406786","720575940620126588",55,1,NA,NA
