"","bodyid","pre","post","upstream","downstream","status","statusLabel","voxels","cropped","name","type","cellBodyFiber","notes","soma"
"1",5813024692,1027,6224,6224,8477,"Traced","Traced",1785169866,FALSE,"M_adPNm3_R","M_adPNm3",NA,NA,TRUE
"2",1888213190,181,760,760,1323,"Traced","Roughly traced",436101864,FALSE,"M_adPNm4_R","M_adPNm4","AVM01",NA,FALSE
"3",1887872301,277,596,596,2202,"Traced","Roughly traced",532834352,FALSE,"M_adPNm4_R","M_adPNm4","AVM01",NA,TRUE
"4",1916528384,177,317,317,1321,"Traced","Roughly traced",342914937,FALSE,"M_adPNm5_R","M_adPNm5","AVM01",NA,TRUE
"5",2040344064,165,385,385,1189,"Traced","Roughly traced",329354519,FALSE,"M_adPNm5_R","M_adPNm5","AVM01",NA,FALSE
"6",762982753,189,648,648,1471,"Traced","Roughly traced",466313254,FALSE,"M_adPNm5_R","M_adPNm5","AVM01",NA,TRUE
"7",788940872,213,441,441,1650,"Traced","Roughly traced",382298353,FALSE,"M_adPNm6_R","M_adPNm6","AVM01",NA,FALSE
"8",1886132855,194,457,457,1643,"Traced","Roughly traced",409684057,FALSE,"M_adPNm7_R","M_adPNm7","AVM01",NA,TRUE
"9",1693827279,291,896,896,2280,"Traced","Roughly traced",585093309,FALSE,"M_adPNm8_R","M_adPNm8","AVM01",NA,TRUE
"10",1762674761,131,417,417,1178,"Traced","Roughly traced",385563276,FALSE,"M_adPNm8_R","M_adPNm8","AVM01",NA,TRUE
"11",788945049,186,520,520,1430,"Traced","Roughly traced",459142979,FALSE,"M_adPNm8_R","M_adPNm8","AVM01",NA,TRUE
"12",1702306047,490,1401,1401,4310,"Traced","Roughly traced",597369899,FALSE,"M_ilPN8t91_R","M_ilPN8t91",NA,"DA2++ ilPN (Marin et al. Curr Biol 2020)",FALSE
"13",1671608112,604,1747,1747,4758,"Traced","Roughly traced",763657995,FALSE,"M_ilPNm90_R","M_ilPNm90",NA,NA,FALSE
"14",1701299822,689,2345,2345,5934,"Traced","Roughly traced",1081161184,FALSE,"M_imPNl92_R","M_imPNl92",NA,NA,FALSE
"15",1788680591,580,1218,1218,5859,"Traced","Roughly traced",1225663129,FALSE,"M_l2PN10t19_R","M_l2PN10t19","AVM03","VP3++ l2PN (Marin et al. Curr Biol 2020)",TRUE
"16",1788685103,489,591,591,4869,"Traced","Roughly traced",927581402,FALSE,"M_l2PN10t19_R","M_l2PN10t19","AVM03","biPN-4 (Lin et al. PLoS Biol 2012); VC5++ l2PN2 (Marin et al. Curr Biol 2020)",TRUE
"17",1661769627,689,2131,2131,5116,"Traced","Roughly traced",1319301554,FALSE,"M_l2PN3t18_R","M_l2PN3t18","AVM03","slow hot and cold t3ALT PN (Frank et al. Nature 2015); VC5++ l2PN1 (Marin et al. Curr Biol 2020)",TRUE
"18",1755556277,689,2100,2100,5039,"Traced","Roughly traced",1341795331,FALSE,"M_l2PN3t18_R","M_l2PN3t18","AVM03","slow hot and cold t3ALT PN (Frank et al. Nature 2015); VC5++ l2PN1 (Marin et al. Curr Biol 2020)",TRUE
"19",1671638278,1862,6170,6170,13663,"Traced","Roughly traced",4579706697,FALSE,"M_l2PNl20_R","M_l2PNl20","AVM03",NA,TRUE
"20",1700307582,1062,3017,3017,8885,"Traced","Traced",2340951861,FALSE,"M_l2PNl21_R","M_l2PNl21","AVM03",NA,TRUE
"21",1793403571,939,2915,2915,9260,"Traced","Roughly traced",2109258506,FALSE,"M_l2PNl22_R","M_l2PNl22","AVM03",NA,TRUE
"22",1917866877,927,2694,2694,7944,"Traced","Roughly traced",1610461345,FALSE,"M_l2PNl23_R","M_l2PNl23","AVM03","unPN-5 (Lin et al. PLoS Biol 2012); VP1m++ l2PN (Marin et al. Curr Biol 2020)",TRUE
"23",1723506321,957,1922,1922,9529,"Traced","Roughly traced",1800268431,FALSE,"M_l2PNm14_R","M_l2PNm14","AVM03",NA,TRUE
"24",1794055377,1227,2057,2057,7929,"Traced","Roughly traced",1533129257,FALSE,"M_l2PNm15_R","M_l2PNm15","AVM03",NA,TRUE
"25",1037293275,1122,3207,3207,9094,"Traced","Roughly traced",1908079669,FALSE,"M_l2PNm16_R","M_l2PNm16","AVM03","VM1++ l2PN (Marin et al. Curr Biol 2020)",FALSE
"26",1733677514,1131,2924,2924,9336,"Traced","Roughly traced",2193574666,FALSE,"M_l2PNm16_R","M_l2PNm16","AVM03",NA,TRUE
"27",5813083723,581,1134,1134,4162,"Traced","Roughly traced",1374533184,FALSE,"M_l2PNm17_R","M_l2PNm17","AVM03","VP5+ l2PN (Marin et al. Curr Biol 2020)",TRUE
"28",1630734360,226,365,365,1545,"Traced","Roughly traced",590722004,FALSE,"M_lPNm11A_R","M_lPNm11A","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) projection to LH/PLP; VP4++ lPN (Marin et al. Curr Biol 2020)",TRUE
"29",5813044177,240,370,370,1462,"Traced","Roughly traced",560522313,FALSE,"M_lPNm11A_R","M_lPNm11A","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) projection to LH/PLP; VP4++ lPN (Marin et al. Curr Biol 2020)",TRUE
"30",819993149,177,212,212,1100,"Traced","Roughly traced",540126473,FALSE,"M_lPNm11A_R","M_lPNm11A","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) projection to LH/PLP; VP4++ lPN (Marin et al. Curr Biol 2020)",TRUE
"31",850703925,238,307,307,1776,"Traced","Roughly traced",510547007,FALSE,"M_lPNm11B_R","M_lPNm11B","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) projection to LH/PLP; VP1l++ lPN (Marin et al. Curr Biol 2020)",TRUE
"32",850708902,357,642,642,2694,"Traced","Roughly traced",607994160,FALSE,"M_lPNm11C_R","M_lPNm11C","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP",TRUE
"33",1825085656,373,1290,1290,2184,"Traced","Roughly traced",578488068,FALSE,"M_lPNm11D_R","M_lPNm11D","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP; VP1d++ lPN1 (Marin et al. Curr Biol 2020)",TRUE
"34",1827861966,349,1129,1129,2345,"Traced","Roughly traced",542231433,FALSE,"M_lPNm11D_R","M_lPNm11D","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP; VP1d++ lPN1 (Marin et al. Curr Biol 2020)",TRUE
"35",1857148391,362,1280,1280,2324,"Traced","Roughly traced",548629898,FALSE,"M_lPNm11D_R","M_lPNm11D","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP; VP1d++ lPN1 (Marin et al. Curr Biol 2020)",TRUE
"36",1887163927,360,1223,1223,2112,"Traced","Roughly traced",576862151,FALSE,"M_lPNm11D_R","M_lPNm11D","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP; VP1d++ lPN1 (Marin et al. Curr Biol 2020)",TRUE
"37",1917188956,436,1156,1156,2752,"Traced","Roughly traced",696991847,FALSE,"M_lPNm11D_R","M_lPNm11D","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP; VP1d++ lPN1 (Marin et al. Curr Biol 2020)",TRUE
"38",1856833015,273,523,523,2154,"Traced","Roughly traced",564905219,FALSE,"M_lPNm12_R","M_lPNm12","AVM02",NA,TRUE
"39",5813024799,265,519,519,2313,"Traced","Roughly traced",539427272,FALSE,"M_lPNm12_R","M_lPNm12","AVM02",NA,TRUE
"40",1693486219,279,420,420,1963,"Traced","Roughly traced",536061546,FALSE,"M_lPNm13_R","M_lPNm13","AVM02",NA,TRUE
"41",5812983069,274,509,509,2166,"Traced","Roughly traced",590986924,FALSE,"M_lPNm13_R","M_lPNm13","AVM02",NA,TRUE
"42",1102334088,758,2166,2166,6719,"Traced","Roughly traced",1286597515,FALSE,"M_lv2PN9t49_R","M_lv2PN9t49",NA,"VP2++ lv2PN (Marin et al. Curr Biol 2020)",FALSE
"43",1888178718,983,3224,3224,10051,"Traced","Roughly traced",1529111094,FALSE,"M_lv2PN9t49_R","M_lv2PN9t49",NA,NA,FALSE
"44",1671952694,903,1818,1818,9400,"Traced","Roughly traced",1660907097,FALSE,"M_lvPNm24_R","M_lvPNm24","AVM06",NA,TRUE
"45",577542489,809,1714,1714,7973,"Traced","Roughly traced",1270054861,FALSE,"M_lvPNm24_R","M_lvPNm24","AVM06",NA,FALSE
"46",1411784734,426,799,799,4045,"Traced","Roughly traced",799164517,FALSE,"M_lvPNm25_R","M_lvPNm25","AVM06",NA,TRUE
"47",639276164,375,570,570,3455,"Traced","Roughly traced",642275219,FALSE,"M_lvPNm25_R","M_lvPNm25","AVM06",NA,TRUE
"48",1730656082,319,707,707,3030,"Traced","Roughly traced",613722418,FALSE,"M_lvPNm26_R","M_lvPNm26","AVM06",NA,TRUE
"49",5812995328,293,667,667,2789,"Traced","Roughly traced",610593817,FALSE,"M_lvPNm26_R","M_lvPNm26","AVM06",NA,TRUE
"50",1670973150,311,675,675,2487,"Traced","Roughly traced",558723185,FALSE,"M_lvPNm27_R","M_lvPNm27","AVM06",NA,TRUE
"51",1670969304,317,496,496,2537,"Traced","Roughly traced",474385439,FALSE,"M_lvPNm28_R","M_lvPNm28","AVM06",NA,TRUE
"52",1672293837,258,448,448,2422,"Traced","Roughly traced",426357081,FALSE,"M_lvPNm29_R","M_lvPNm29","AVM06",NA,TRUE
"53",5813079228,266,449,449,2371,"Traced","Roughly traced",413726938,FALSE,"M_lvPNm30_R","M_lvPNm30","AVM06",NA,TRUE
"54",1943811511,258,268,268,2055,"Traced","Roughly traced",299865768,FALSE,"M_lvPNm31_R","M_lvPNm31","AVM06",NA,FALSE
"55",329599710,247,285,285,2051,"Traced","Roughly traced",344079818,FALSE,"M_lvPNm32_R","M_lvPNm32","AVM06",NA,FALSE
"56",1759999022,225,373,373,1731,"Traced","Roughly traced",467141899,FALSE,"M_lvPNm33_R","M_lvPNm33","AVM06",NA,TRUE
"57",5813069532,262,391,391,2170,"Traced","Roughly traced",502896169,FALSE,"M_lvPNm34_R","M_lvPNm34","AVM06",NA,TRUE
"58",1670597454,246,433,433,1943,"Traced","Roughly traced",479973025,FALSE,"M_lvPNm35_R","M_lvPNm35","AVM06",NA,TRUE
"59",5812995298,243,342,342,1717,"Traced","Roughly traced",442713773,FALSE,"M_lvPNm35_R","M_lvPNm35","AVM06",NA,TRUE
"60",417199910,162,361,361,1586,"Traced","Roughly traced",389682828,FALSE,"M_lvPNm36_R","M_lvPNm36","AVM06","VP1l+ lvPN2 (Marin et al. Curr Biol 2020)",TRUE
"61",5812992942,178,314,314,1148,"Traced","Roughly traced",422447393,FALSE,"M_lvPNm37_R","M_lvPNm37","AVM06",NA,TRUE
"62",5901194250,185,251,251,1303,"Traced","Roughly traced",364834515,FALSE,"M_lvPNm37_R","M_lvPNm37","AVM06",NA,TRUE
"63",5901194556,176,258,258,1310,"Traced","Roughly traced",405120614,FALSE,"M_lvPNm37_R","M_lvPNm37","AVM06",NA,TRUE
"64",1504889437,177,254,254,1147,"Traced","Roughly traced",420250047,FALSE,"M_lvPNm38_R","M_lvPNm38","AVM06","VC5+ lvPN2 (Marin et al. Curr Biol 2020)",TRUE
"65",609924156,736,548,548,5750,"Traced","Roughly traced",1131879964,FALSE,"M_lvPNm39_R","M_lvPNm39","AVM06",NA,TRUE
"66",1732313117,265,435,435,1934,"Traced","Roughly traced",316044971,FALSE,"M_lvPNm40_R","M_lvPNm40","AVM06",NA,FALSE
"67",697844568,140,372,372,1015,"Traced","Roughly traced",187325752,FALSE,"M_lvPNm40_R","M_lvPNm40","AVM06",NA,FALSE
"68",1765415970,330,497,497,2848,"Traced","Roughly traced",354278606,FALSE,"M_lvPNm41_R","M_lvPNm41","AVM06",NA,FALSE
"69",1795410644,279,385,385,2260,"Traced","Roughly traced",323605840,FALSE,"M_lvPNm41_R","M_lvPNm41","AVM06",NA,FALSE
"70",730252777,308,475,475,2630,"Traced","Roughly traced",441751530,FALSE,"M_lvPNm41_R","M_lvPNm41","AVM06",NA,TRUE
"71",1827473315,338,706,706,2975,"Traced","Roughly traced",510292243,FALSE,"M_lvPNm42_R","M_lvPNm42","AVM06",NA,TRUE
"72",851684181,292,450,450,2600,"Traced","Roughly traced",328601317,FALSE,"M_lvPNm42_R","M_lvPNm42","AVM06",NA,FALSE
"73",792024028,275,281,281,2448,"Traced","Roughly traced",359035147,FALSE,"M_lvPNm43_R","M_lvPNm43","AVM06",NA,TRUE
"74",757569579,150,140,140,1094,"Traced","Roughly traced",425659108,FALSE,"M_lvPNm44_R","M_lvPNm44","AVM06",NA,TRUE
"75",757591093,215,236,236,1871,"Traced","Roughly traced",366046506,FALSE,"M_lvPNm45_R","M_lvPNm45","AVM06",NA,FALSE
"76",757258507,317,245,245,2828,"Traced","Roughly traced",482174867,FALSE,"M_lvPNm45_R","M_lvPNm45","AVM06",NA,TRUE
"77",792023887,273,191,191,2389,"Traced","Roughly traced",348686016,FALSE,"M_lvPNm45_R","M_lvPNm45","AVM06",NA,FALSE
"78",1849683877,131,185,185,804,"Traced","Roughly traced",390166741,FALSE,"M_lvPNm46_R","M_lvPNm46","AVM06",NA,FALSE
"79",5812992940,127,196,196,817,"Traced","Roughly traced",534611849,FALSE,"M_lvPNm46_R","M_lvPNm46","AVM06",NA,TRUE
"80",1856820042,163,390,390,989,"Traced","Roughly traced",428011826,FALSE,"M_lvPNm47_R","M_lvPNm47","AVM06",NA,TRUE
"81",1912435859,178,370,370,1156,"Traced","Roughly traced",342985990,FALSE,"M_lvPNm47_R","M_lvPNm47","AVM06","VP2++ lvPN (Marin et al. Curr Biol 2020)",FALSE
"82",1912777226,151,418,418,837,"Traced","Roughly traced",408550461,FALSE,"M_lvPNm48_R","M_lvPNm48","AVM06","VP2+VP5 lvPN (Marin et al. Curr Biol 2020)",TRUE
"83",1975187554,140,414,414,819,"Traced","Roughly traced",401406789,FALSE,"M_lvPNm48_R","M_lvPNm48","AVM06","VP2+VP5 lvPN (Marin et al. Curr Biol 2020)",TRUE
