"","bodyid","pre","post","upstream","downstream","status","statusLabel","voxels","cropped","name","type","cellBodyFiber.x","notes","soma","ItoLee_Hemilineage","Hartenstein_Hemilineage","cellBodyFiber.y","cell.type","layer","ct.layer","FAFB.match","FAFB.match.quality","flywire.xyz","flywire.id","LM.match","LM.match.quality","CATMAID.nblast.top","flywire.nblast.top","User","note"
"1",5813024692,1027,6224,6224,8477,"Traced","Traced",1785169866,FALSE,"M_adPNm3_R","M_adPNm3",NA,NA,TRUE,NA,NA,NA,"M_adPNm3",2.283,2,"57543","good","(119742.36, 65038.035, 1924)","720575940632553879",NA,NA,NA,NA,"ASB",NA
"2",1888213190,181,760,760,1323,"Traced","Roughly traced",436101864,FALSE,"M_adPNm4_R","M_adPNm4","AVM01",NA,FALSE,"ALad1","BAmv3","AVM01","M_adPNm4",2.178,2,"57270","good","(113006.4375, 59336.9525, 1655)","720575940620733320",NA,NA,NA,NA,"ASB",NA
"3",1887872301,277,596,596,2202,"Traced","Roughly traced",532834352,FALSE,"M_adPNm4_R","M_adPNm4","AVM01",NA,TRUE,"ALad1","BAmv3","AVM01","M_adPNm4",2.271,2,"49026","good","(122886.93, 56280.04, 2268)","720575940628939461",NA,NA,NA,NA,"ASB",NA
"4",1916528384,177,317,317,1321,"Traced","Roughly traced",342914937,FALSE,"M_adPNm5_R","M_adPNm5","AVM01",NA,TRUE,"ALad1","BAmv3","AVM01","M_adPNm5",2.178,2,"57278","good","(123352.175, 57508.9225, 2088)","720575940614225949",NA,NA,NA,NA,"ASB",NA
"5",2040344064,165,385,385,1189,"Traced","Roughly traced",329354519,FALSE,"M_adPNm5_R","M_adPNm5","AVM01",NA,FALSE,"ALad1","BAmv3","AVM01","M_adPNm5",2.147,2,"80008","good","(122695.57, 56363.5675, 2263)","720575940614137373",NA,NA,NA,NA,"ASB",NA
"6",762982753,189,648,648,1471,"Traced","Roughly traced",466313254,FALSE,"M_adPNm5_R","M_adPNm5","AVM01",NA,TRUE,"ALad1","BAmv3","AVM01","M_adPNm5",2.201,2,"57254","good","(125079.585, 58909.85, 2231)","720575940630352467",NA,NA,NA,NA,"ASB",NA
"7",788940872,213,441,441,1650,"Traced","Roughly traced",382298353,FALSE,"M_adPNm6_R","M_adPNm6","AVM01",NA,FALSE,"ALad1","BAmv3","AVM01","M_adPNm6",2.191,2,"57258","good","(115475.5075, 57656.145, 1644)","720575940637647232",NA,NA,NA,NA,"ASB",NA
"8",1886132855,194,457,457,1643,"Traced","Roughly traced",409684057,FALSE,"M_adPNm7_R","M_adPNm7","AVM01",NA,TRUE,"ALad1","BAmv3","AVM01","M_adPNm7",2.235,2,"57274","good","(115898.975, 57115.035, 1627)","720575940610077337",NA,NA,NA,NA,"ASB",NA
"9",1693827279,291,896,896,2280,"Traced","Roughly traced",585093309,FALSE,"M_adPNm8_R","M_adPNm8","AVM01",NA,TRUE,"ALad1","BAmv3","AVM01","M_adPNm8",2.427,2,"22422","good","(115658.265, 56608.145, 1617)","720575940624945182",NA,NA,NA,NA,"ASB",NA
"10",1762674761,131,417,417,1178,"Traced","Roughly traced",385563276,FALSE,"M_adPNm8_R","M_adPNm8","AVM01",NA,TRUE,"ALad1","BAmv3","AVM01","M_adPNm8",2.454,2,"73926","good","(116347.375, 57417, 1643)","720575940625867004",NA,NA,NA,NA,"ASB",NA
"11",788945049,186,520,520,1430,"Traced","Roughly traced",459142979,FALSE,"M_adPNm8_R","M_adPNm8","AVM01",NA,TRUE,"ALad1","BAmv3","AVM01","M_adPNm8",2.494,2,"1695556","good","(115504.235, 57215.0675, 1643)","720575940630487507",NA,NA,NA,NA,"ASB",NA
"12",1702306047,490,1401,1401,4310,"Traced","Roughly traced",597369899,FALSE,"M_ilPN8t91_R","M_ilPN8t91",NA,"DA2++ ilPN (Marin et al. Curr Biol 2020)",FALSE,NA,NA,NA,"M_ilPN8t91",3.043,3,"8715672","good","(121098.89, 76423.93, 3362)","720575940615488916",NA,NA,NA,NA,"ASB",NA
"13",1671608112,604,1747,1747,4758,"Traced","Roughly traced",763657995,FALSE,"M_ilPNm90_R","M_ilPNm90",NA,NA,FALSE,NA,NA,NA,"M_ilPNm90",3.01,3,"2070199","good","(143601.5, 78817.7575, 3235)","720575940616942494",NA,NA,NA,NA,"ASB",NA
"14",1701299822,689,2345,2345,5934,"Traced","Roughly traced",1081161184,FALSE,"M_imPNl92_R","M_imPNl92",NA,NA,FALSE,NA,NA,NA,"M_imPNl92",3.085,3,"4954525","good","(130887.5, 85562.25, 3377)","720575940628000567","L2444#1","good",NA,NA,"ASB",NA
"15",1788680591,580,1218,1218,5859,"Traced","Roughly traced",1225663129,FALSE,"M_l2PN10t19_R","M_l2PN10t19","AVM03","VP3++ l2PN (Marin et al. Curr Biol 2020)",TRUE,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PN10t19",2.764,3,"7017522","good","(118401, 65580.25, 2239)","720575940602389216",NA,NA,NA,NA,"ASB",NA
"16",1788685103,489,591,591,4869,"Traced","Roughly traced",927581402,FALSE,"M_l2PN10t19_R","M_l2PN10t19","AVM03","biPN-4 (Lin et al. PLoS Biol 2012); VC5++ l2PN2 (Marin et al. Curr Biol 2020)",TRUE,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PN10t19",2.797,3,"8406430","good","(118526.75, 65232.75, 2219)","720575940621364874",NA,NA,NA,NA,"ASB",NA
"17",1661769627,689,2131,2131,5116,"Traced","Roughly traced",1319301554,FALSE,"M_l2PN3t18_R","M_l2PN3t18","AVM03","slow hot and cold t3ALT PN (Frank et al. Nature 2015); VC5++ l2PN1 (Marin et al. Curr Biol 2020)",TRUE,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PN3t18",2.443,2,"8825246","good","(118025.345, 64649.485, 2300)","720575940616259904",NA,NA,NA,NA,"ASB",NA
"18",1755556277,689,2100,2100,5039,"Traced","Roughly traced",1341795331,FALSE,"M_l2PN3t18_R","M_l2PN3t18","AVM03","slow hot and cold t3ALT PN (Frank et al. Nature 2015); VC5++ l2PN1 (Marin et al. Curr Biol 2020)",TRUE,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PN3t18",2.462,2,"1363077","good","(114949.89, 66692.65, 2121)","720575940623475600",NA,NA,NA,NA,"ASB",NA
"19",1671638278,1862,6170,6170,13663,"Traced","Roughly traced",4579706697,FALSE,"M_l2PNl20_R","M_l2PNl20","AVM03",NA,TRUE,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNl20",2.07,2,"1727913","good","(116346.89, 66924.05, 2106)","720575940612616354","Trh-M-000008","good",NA,NA,"ASB",NA
"20",1700307582,1062,3017,3017,8885,"Traced","Traced",2340951861,FALSE,"M_l2PNl21_R","M_l2PNl21","AVM03",NA,TRUE,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNl21",2.37,2,"1334915","good","(117496.6325, 66331.25, 2228)","720575940626116880",NA,NA,NA,NA,"ASB",NA
"21",1793403571,939,2915,2915,9260,"Traced","Roughly traced",2109258506,FALSE,"M_l2PNl22_R","M_l2PNl22","AVM03",NA,TRUE,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNl22",2.165,2,"1339810","good","(115545.18, 67683.82, 2087)","720575940622357479",NA,NA,NA,NA,"ASB",NA
"22",1917866877,927,2694,2694,7944,"Traced","Roughly traced",1610461345,FALSE,"M_l2PNl23_R","M_l2PNl23","AVM03","unPN-5 (Lin et al. PLoS Biol 2012); VP1m++ l2PN (Marin et al. Curr Biol 2020)",TRUE,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNl23",2.896,3,"4195469","good","(117239.54, 66138.1175, 2383)","720575940626314000",NA,NA,NA,NA,"ASB",NA
"23",1723506321,957,1922,1922,9529,"Traced","Roughly traced",1800268431,FALSE,"M_l2PNm14_R","M_l2PNm14","AVM03",NA,TRUE,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNm14",2.429,2,"199461","good","(117043.1325, 33405.14, 4180)","720575940624441177",NA,NA,NA,NA,"ASB",NA
"24",1794055377,1227,2057,2057,7929,"Traced","Roughly traced",1533129257,FALSE,"M_l2PNm15_R","M_l2PNm15","AVM03",NA,TRUE,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNm15",2.625,3,"57536","good","(110724.985, 63822.395, 1842)","720575940634406030",NA,NA,NA,NA,"ASB",NA
"25",1037293275,1122,3207,3207,9094,"Traced","Roughly traced",1908079669,FALSE,"M_l2PNm16_R","M_l2PNm16","AVM03","VM1++ l2PN (Marin et al. Curr Biol 2020)",FALSE,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNm16",3.052,3,"32793","good","(118630.43, 62616.3275, 1945)","720575940608771960",NA,NA,NA,NA,"ASB",NA
